name,altnames,roles
.NET,[],[backend|fullstack]
ADA,[],[]
ANTLR,[],[]
ASP.NET,[],[backend|fullstack]
ActiveMQ,[],[backend|fullstack]
ActiveRecord,[],[backend|fullstack]
Akka,[],[]
AngularJS,[angular|angular.js],[frontend|fullstack]
Ansible,[],[backend|devops]
ArangoDB,[],[backend|fullstack]
Artifactory,[],[backend|devops]
Avro,[],[]
AWS,[amazon web services],[backend|devops]
Azure,[],[backend|devops]
Bash,[],[]
BitBucket,[],[]
C,[],[]
C++,[],[]
C#,[c sharp],[]
CSS,[css3|css/sass|sass|html/css],[frontend|fullstack]
Cassandra,[],[backend|fullstack]
CentOS,[],[]
Clojure,[],[]
ClojureScript,[],[frontend|fullstack]
Cloudant,[],[]
CocoaPods,[],[]
Cordova,[],[]
DataDog,[],[devops]
Deep Learning,[dl],[ml]
DevOps,[],[devops]
Django,[],[backend|fullstack]
Docker,[],[backend|fullstack|devops]
DropWizard,[],[backend|fullstack]
Drupal,[],[backend|fullstack]
DynamoDB,[],[backend|fullstack]
ESLint,[],[]
Elasticsearch,[],[]
Elixir,[],[fullstack]
Ember.js,[],[frontend|fullstack]
Erlang,[],[]
Ethereum,[],[]
ExpressJS,[express|express.js],[backend|fullstack]
Git,[github],[]
Go,[golang],[backend|fullstack]
Gradle,[],[mobile|backend]
Grafana,[],[]
GraphQL,[graphql.js],[]
Groovy,[],[]
Guice,[],[]
HAProxy,[],[]
HBase,[],[]
HTML,[html5|html/css],[frontend|fullstack]
Hadoop,[],[]
Haskell,[],[]
Heroku,[],[devops|fullstack]
InfluxDB,[],[]
JBoss,[],[backend|fullstack]
JIRA,[],[]
JMeter,[],[]
Java,[java8|java13],[backend|fullstack|mobile]
JavaScript,[js],[fullstack|mobile]
Jenkins,[],[backend|devops]
Jupyter,[],[ml]
Junit,[],[]
Kafka,[],[]
Keras,[],[ml]
Kibana,[],[]
Knockout.js,[],[frontend|fullstack]
Kotlin,[],[backend|mobile|fullstack]
Kubernetes,[],[backend|fullstack]
Laravel,[],[backend|fullstack]
Linux,[],[devops]
Lua,[],[]
Lucene,[],[]
Machine Learning,[ml],[ml]
MATLAB,[],[data|ml]
Magento,[],[]
MariaDB,[],[backend|fullstack]
Maven,[],[]
Microservices,[],[backend|devops]
Mockito,[],[]
MongoDB,[],[backend|fullstack]
MyBatis,[],[]
MySQL,[],[backend|fullstack]
NGINX,[],[backend|fullstack]
Neo4j,[],[data|backend]
NLP,[],[ml]
NoSQL,[],[backend|data]
NodeJS,[node|node.js|npm],[fullstack|backend]
OpenGL,[],[]
OpenSSL,[],[]
OpenShift,[],[]
PagerDuty,[],[devops]
Pandas,[],[ml]
PERL,[],[]
PHP,[php5|php7],[]
PHPUnit,[],[]
PLSQL,[],[]
Posix,[],[]
PostgreSQL,[postgres|pgsql],[backend|fullstack]
Powershell,[],[devops]
Python,[],[data]
PyTorch,[torch],[ml]
R,[],[data]
RAN,[],[]
RSLogix,[],[]
RabbitMQ,[],[backend]
ReactJS,[react|react.js],[frontend|fullstack]
React Native,[],[mobile]
Redis,[],[backend]
Requirejs,[],[]
REST,[restful],[backend|fullstack]
Ruby,[],[]
Ruby on Rails,[rails],[fullstack|backend|frontend]
Rust,[],[backend]
SAML,[],[]
SQL,[],[backend|fullstack|ml]
SSL,[],[]
Scala,[],[]
scikit-learn,[scikit],[ml]
Scrum,[],[]
Sidekiq,[],[]
SignalR,[],[]
Sinatra,[],[]
Solaris,[],[]
Solr,[],[]
SonarQube,[],[]
Splunk,[],[devops]
Spring,[spring boot],[backend|fullstack]
Storybook,[],[frontend]
Swift,[],[mobile]
Symfony,[symfony4],[backend|fullstack]
TailwindCSS,[tailwind],[frontend|fullstack]
Tensorflow,[],[ml]
Terraform,[],[backend|devops]
Twilio,[],[]
Typescript,[ts],[backend|fullstack|frontend|mobile]
UML,[],[]
Ubuntu,[],[]
Unix,[],[]
VB.Net,[],[]
VBA,[],[]
VMware,[],[]
VueJS,[vue|vue.js],[frontend|fullstack]
WebSphere,[],[]
Windows,[],[]
X86,[],[]
XAML,[],[]
XML,[],[]
Xamarin,[],[mobile]
YAML,[],[]
debian,[],[]
iOS,[],[mobile]
jQuery,[],[frontend|fullstack]
jupyter,[],[ml]
macOS,[],[]
numpy,[],[ml]
xUnit,[],[]
