ID,Company,Job Title,Location,Description
fa20ecd672f60172,Reperio Human Capital,Software Developer (Frontend),"Dublin, County Dublin","Our client based in Dublin is looking to add a Software Developer to their global expanding team on a permanent basis. This is a great opportunity to be apart of a well-established brand. This role is ideal for any Frontend software developer with exposure to HTML, CSS & JavaScript. The option to work remotely will also be available. If you are interested in this opportunity get in touch with Tony Carberry at Reperio Human Capital to discuss the application further, or apply with the link that is attached. Reperio Human Capital acts as an Employment Agency and an Employment Business."
4ff2d0a51063501e,IBM,IBM Security - Full-Stack Software Developer (React),"Mulhuddart, County Dublin",
40b1584f4757fce6,DOCOsoft,Software Test Engineer,"Dublin, County Dublin","Bachelor's (Preferred) About us DOCOsoft is a leading software and services provider to Lloyd’s of London and the broader London insurance market. It was founded in 2008 and has since grown to become one of the leading insurance software specialists in the London Insurance Market. We are a growing team of approximately 60 with offices in London, Dublin and Tokyo. Role Description As a key member of the Software Testing team, this role requires a strong software testing background, being detail driven, and excellent problem-solving abilities. The successful candidate will be responsible for the thorough execution of test cases and exceptional attention to detail while in a fast-paced Agile environment. The Software Test Engineer will be working to implement new solutions for the London and Global Insurance Markets. Responsibilities Key Attributes Job Types: Full-time, Permanent Salary: €40,000.00-€50,000.00 per year Additional pay: Benefits: Schedule: COVID-19 considerations:Temporary Remote Working with a staggered return to the office when safe to do so. Ability to commute/relocate: Education: Experience: Work remotely:"
8621bc0e1287bd2c,Sitecore,Developer Advocate,"Dublin, County Dublin","Location: As well as the UK we will consider remote work from the following countries in Europe: Dublin, UK, The Netherlands, Belgium, Bulgaria, Denmark, France, Germany, Italy, Spain, Sweden, Permanent Position / Full Time You will currently be a Technical Evangelist or Developer Experience or a Technical Writer from the SaaS space. Sitecore is the global leader in experience management software that combines content management, commerce, and customer insights. The Sitecore Experience Cloud™ empowers marketers to deliver personalized content in real time and at scale across every channel—before, during, and after a sale. More than 5,200 brands—including American Express, Carnival Cruise Lines, Dow Chemical, and L’Oréal—have trusted Sitecore to deliver the personalized interactions that delight audiences, build loyalty, and drive revenue. Sitecore is experiencing spectacular growth all over the world. To build on Sitecore’s success and growth, we are looking for a skilled Workplace Manager to work as part of our Facilities team. Job Description: A Developer Advocate uses deep development knowledge, engaging technical writing and persuasive presentation skills to show the endless possibilities of creating unique experiences with Sitecore products. You love what you do and have a natural desire to help others and share what you have learned. You will be a key member of our team for growing and supporting our technical community, as well as advocating for the needs of developers to teams within Sitecore. We want you to join us and create excitement in the technical community for the possibilities that Sitecore technology offers. As a member of the team you will participate in events and engage the internal and external technical community through online channels, workshops, meetings and user groups. By engaging you will create relationships with community leaders, influencers and (technical) partners. This is a highly technical role with the mission of engaging and inspiring the broad community of developers. Public speaking will be a big part of your job and you will become one of the public faces of the company. The developer advocate will: The developer advocate supports different parts inside the organization: The ideal candidate will have proven technical experience with: The candidate is more awesome if: Candidates should also demonstrate this non-technical experience: Sitecore is proud to be an equal opportunity workplace. We are committed to equal employment opportunity without unlawful regard to race, colour, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, veteran status, or any other local legally protected characteristic."
e301717012077d1d,Intel,Movidius VPU Software Internships,"Leixlip, County Kildare","Movidius VPU specializes in high-performance, ultra-low power neural network technology for advanced AI applications. Step inside our world and you'll find one brilliant mind after another working together in a spirit of collaboration that is simply contagious. And through this shared dedication, a culture of innovation and exploration, we do more than deliver the latest technologies. We deliver the future. And this is where you come in. We need innovators and proven communicators like you to push our thinking. We need your strong collaboration and organizational skills, as well as your ability to effectively work with and manage teams. You will help push us to the next level. Joining Movidius VPU means joining a dynamic team at a company that has established a reputation for innovation. Edge.AI has several Internships available in 2022 across our various software centric teams. These include positions in Software Development, Modelling, Integration, Validation and Deployment and an opportunity to work with leading edge IoT teams. Specific technical activities will vary depending on which team a candidate is placed and in all cases, you will be working on our current cutting-edge technology development portfolio. Qualifications Qualifications The candidate must be currently doing a Level 8 or Level 9 college course in Electronic Engineering, Computer Engineering, Computer Science, Software Engineering or an equivalent course. You must also be available for six to eight months in 2022 with a preferred starting date between January and June. Required Competencies Strong analytical and problem solving skills. Self motivated with ability to work independently and manage stakeholders. Excellent written and verbal communication skills. Demonstrated team dynamics and ability to work as part of a high performing team. Ability to deal with ambiguity in defining activities and direction. Good planning and organization skills. Employees of the Internet of Things Solutions Group (IOTG) have an exciting opportunity before them: To grow Intel's leadership position in the rapidly evolving IoT market by delivering the best silicon, software and services that meet a wide range of customer requirements - from Intel® Xeon® to Intel® Quark®. The group, a fresh, dynamic collaboration between Intel's Intelligent Solutions Group and Wind River Systems, utilizes assets from across all of Intel in such areas as industrial automation, retail, automobiles and aerospace. The IOTG team is dedicated to helping Intel drive the next major growth inflection through productivity and new business models that are emerging as a result of IoT."
8cdf58f4624b0de7,Xilinx,Graduate FPGA Design Software Verification Engineer - Contract,"Dublin, County Dublin","Description The FPGA Design Software Verification team play a critical role in verifying the Xilinx EDA tool chain for both pre- and post-silicon support. We are looking for a talented engineer to join our team of 6 engineers in the new architecture verification team in Dublin. In this role you will be responsible for understanding & evaluating software support for the latest FPGAs by creating test designs, ranging from small unit tests to full systems addressing customer markets such as Video Streaming. This role requires strong FPGA design skills, combined with excellent software testing skills, including the creativity needed to imagine the many ways in which our software can be used, in order to find software bugs. You will need to learn fast as this role will require you to adapt your skills to changing technologies as Xilinx expands its EDA portfolio in the cloud and AI compute space. Education Requirements Desired Skills"
00c3a2cd96bd7614,Alldus,Front End Developer,"Dublin, County Dublin",Job Title - Front End Developer Location - Dublin City Centre Industry - Edtech Our client in the Education Industry are looking for a Front End Developer to play a key role in impacting the lives of people worldwide. They are a leading European cloud provider and are looking for people to help both enhancing and further develop their innovative SaaS product. Based in Dublin City Centre you will join a collaborative environment and use the latest cutting-edge technology. Your Role: Your Skillset: Interested? Apply today by filling in your details below or send your CV directly to Hazel Findlay at hazel@alldus.com
d28fa80fd40e10d2,Meade Farm,Junior Full-Stack Developer,"Lobinstown, County Meath","Meade Farm Group are recruiting a Junior Full-Stack Developer that’s experienced in both front end development and back end development. The successful candidate will be comfortable with different coding languages, and development of frameworks. They will need to be a Team Player with excellent verbal, written communication, and cross functional collaboration skills. Key Duties & Responsibilities Desired Skills and Experience Key behaviours/ Competencies Job Type: Permanent Additional pay: Benefits: Schedule: Work remotely:"
f644d81fa996a1fd,Continuous Software,Front End Developer,"Dublin, County Dublin","React: 1 year (Required) About Us We are a startup/scaleup Irish company with team members in Dublin, London, Istanbul and Toronto. With our product ""Aangine - Intelligent Portfolio Planning"", we are a leader in the newly emerging market of Strategic Portfolio Planning, which was recently analysed by Gartner in 2021 and is aspired to be an US$8bn market. Aangine is being recognized as the “most automated approach” for this segment and have already acquired flagship customers like T-Mobile, and accumulated case histories of 9% budget reduction while providing 22% more delivery, 50% more on time delivery and up to 30% faster product development cycles. About the Role We are looking for a Frontend Developer with a strong technical background able to work in a fast-paced environment. The ideal candidate needs to demonstrate good skills in using React.Js and needs to have experience in enterprise-grade software development. Software engineering or similar engineering background is a plus. Responsibilities: Requirements Basic Qualifications Job Type: Full-time Salary: From €45,000.00 per year Experience: Licence/Certification: Work remotely:"
5e398d76a8c3abac,Dell Technologies,Software Systems Engineer – RCM Tools Application Support Analyst,"Cork, County Cork","Software Systems Engineer – RCM Tools Application Support Analyst Remote – Cork, Ireland Be a part of a team that’s ensuring Dell Technologies' product integrity and customer satisfaction. Our software engineers turn business requirements into technology solutions by designing, coding and testing/debugging applications, as well as documenting procedures for use and constantly seeking quality improvements. Join us as a Software Systems Engineer / Application Support Analyst on our global Converged Infrastructure Release Quality Management team working remotely and from our Cork office, as needed, to do the best work of your career and make a profound social impact. This is a perfect position for someone who is interested in a holistic exposure creating, maintaining, and supporting applications leverage by business users and customers. The role is a combination of business analyst, project management, and application support along with an opportunity to gain exposure to software development skillsets. What you’ll achieve As a Software Systems Engineer/Business Analyst, you will deliver products and improvements for a changing world. Working at the cutting edge, you will assist in crafting, developing, and supporting software for platforms, peripherals, applications, and diagnostics — all with the most sophisticated technologies, tools, software engineering methodologies and partnerships. You will: Design specifications for high availability and highly scalable applications which will be used by both internal and external customers Work with clients and software developers to establish software requirements and system impacts Work with solution architects and a very energetic/high performing team in developing and delivering high quality software. Support internal and external application users as they utilize the tools that you helped develop Work with IT to manage the application environment and maintain desired availability and performance Be essential to ensuring that a global team works effectively across time zones Take the first step towards your dream career Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role: Roles & Responsibilities Essential Requirements Desired Requirements: Education: Bachelors or Masters Here’s our story; now tell us yours Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We’re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress. What’s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life - while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more. We started with computers, but we didn’t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what’s next in technology, starting today. You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here. Application closing date: Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Equal Employment Opportunity Policy here."
