ID,Company,Job Title,Location,Description
5d9acea7637a4cc594edca8c2ba78f9e,AIB,"Senior Risk Data Scientist, Decision Analytics & Insights","Dublin, County Dublin, Ireland Hybrid","Role Title: Senior Risk Data Scientist, Decision Analytics & Insights




Location: Molesworth Street, Dublin




This role is being offered on a permenant basis.




Who are we?

The Risk Analytics Department is a central function within AIB with the remit to develop strong credit and financial risk measurement and decision-support throughout every aspect of our businesses and control functions. The outputs from Risk Analytics deliver optimal pricing for our customers, quick and convenient credit decisions, a safe lending and borrowing environment, and efficient use of our shareholders’ capital with sustainable returns. In addition, the teams regularly carry out ad-hoc analysis and assessments to support the business and any regulatory considerations of the ongoing appropriateness of the models and their outputs.




This role is in the Decision Analytics & Insights Team in Risk Analytics. They are responsible for development predictive models and credit strategies to determine customer risk profiles, which are then used to automate credit decisions for the Bank’s customers. The team also provide management information to inform customer engagement strategies and track the performance of credit models to ensure they continue to operate as expected.




Summary of role:

We’re looking for someone who would be interested in:

Development of application and behavioural models to support business decision making and estimation of expected credit loss in line with internal development standards and policies. This includes but is not limited to: Probability of Default (PD), Loss Given Default (LGD), Exposure at Default (EAD) models;
Develop credit decisioning strategies to support the automation of Retail and non-Retail credit decisions throughout the credit lifecycle;
Performing exploratory and ad-hoc data analysis to generating meaningful customer or portfolio insights;
Contributing to the standards, methodologies and toolsets required to perform analytic activities;
Extracting, transforming, and cleaning the data required for modelling and analysis purposes;
Engaging with customer facing Business teams to understand how our analytic outputs can support their decision making.




We’re looking for someone who has:

Analysis & Investigation: Undertake and guide junior data scientists in various complex data analyses, investigations and/or modelling of business issues to improve the management, services and products of the bank;
Digital protection: Access / utilise bank data within the policies and frameworks required by AIB;
Predictive model development: Take a leading role in building predictive models that are focussed on impact core business elements, such as automated decisioning, capital requirements and loss expectations;
Data insights: Perform and guide junior data scientists in exploratory and ad-hoc data analysis with a view to generating insights and using this to deliver actionable recommendations to the Business;
Expert advice: Provide specialist advice to the business with an emphasis on the impact and application of risk management requirements;
Risk segmentation analysis: Creating segmentations that allow us to better understand the risks present in our lending portfolio and what we can do to better manage the risks;
Leadership: Mentoring and guidance for junior data scientists. Also there will be responsibility for reviewing work carried out by junior team members.







Who are we?

We’re AIB. A strong Irish bank packed with purpose - to back our customers to achieve their dreams and ambitions. That goes for our employees too. We’re made of small teams where you have the chance to shine.




Why join us?

We are excited about how we have changed our focus. We want to be at the heart of our customers’ financial lives by giving them an exceptional experience. We are building a culture that breaks the conventions of what our customers and employees expect of a bank.




Does this sound like something that you want to be part of?




You will need to show us that you can/have:




3 years’ experience in a model monitoring, model development or model validation role. Examples include: IRB; IFRS 9; loss forecasting; stress testing or economic capital modelling; propensity modelling; or a combination thereof.
A bachelor’s degree in a quantitative analytical discipline (2.1 or higher), e.g. mathematics, applied mathematics, physics, statistics, engineering, econometrics. (Confirmation will be sought if successful for the role.);
Ideally have advanced level of SAS or SQL programming – an equivalent level in an alternate programming language would be consider (e.g. R, Python, Matlab). Advanced experience in extracting, transforming, and cleaning data for modelling purposes;
Familiarity with data visualisation tools such as QlikView, Power BI, SAS VA or Tableau;
Experience writing technical documents that meet internal and regulatory standards. Experience in engagement with regulatory or audit bodies;
Experience training and managing the day to day tasks of junior team members;
Strong ability to build relationships and communicate with key stakeholders;
Curiosity and inventiveness. Good problem solving skills with capability to defend their decisions from challenge both on a technical and business front.




If you feel you have what it takes, Click Apply and fill in the online application form. If you would like more information the Talent Acquisition Team can help. You can contact them via email at careers@aib.ie.




By when? Closing date is Friday 15th April"
254a3352b01a4c7b847f23f503881375,Creditsafe,Lead Data Scientist,"Dublin, County Dublin, Ireland Hybrid","Creditsafe Data Cloud team have an exciting new role available, Lead Data Scientist. This is a brand new role to you company & gives you the ability to develop the team in your way. 

 

 

WHO ARE WE? 

 

Privately owned and independently minded, Creditsafe prides itself on being pro-active and different. Our journey began in Oslo, Norway in 1997, where we had a dream of using the ‘revolutionary’ internet to deliver instant access company credit reports to small and medium-sized businesses. Creditsafe realised this dream and changed the market for the better, for businesses of all sizes. 

 

Our continued success has made us the most used business data provider in the world and one of the industry’s strongest growing business intelligence providers. Today Creditsafe has 23 offices across 3 continents serving 110,000 customers from SME’s to enterprise businesses. 

 

THE TEAM  

 

Creditsafe’s Data & Insights team consists of Technical Architect, Data Engineer, Software & Quality Engineers and Data Scientists, spread across our Dublin & Cardiff office. The team is responsible for managing Creditsafe’s central data lake, data delivery, product Integration, analysing customer’s usage, and Industry trend reporting. We are looking to now expand our ML capability to deliver pattern and Insights from our data and shape our future product roadmaps. 

 

JOB PROFILE  

 

This opportunity is to join a team of highly skilled individuals, who are redesigning Creditsafe data & insights platform to support a suite of products. As a senior member, you would be expected to provide technical leadership to the team and influence our product roadmap. We encourage bold and high standards of ideas, and successful candidate would have autonomy to lead the data science journey within Creditsafe. 

 

 

KEY RESPONSIBILITIES & DUTIES 

You will be working with large and complex data sets to manage and support predictive analytics projects. 
Working with engineers to design and develop production-ready models with iterative improvement and explain-ability at its core. 
Working with product managers and stake holders to ideate and plan technically feasible solutions to address customer needs. 
Influence our product roadmap and product strategy through experimentation, exploratory analysis and quantitative research. 
Apply expertise in pattern recognition and prediction of user behaviors, industry trends and company indicators with actionable insights 

 

The responsibilities detailed above are not exhaustive and you may be requested to take on additional responsibilities deemed as reasonable by their direct line manager. 

SKILLS AND QUALIFICATIONS  

PhD or MSc (or comparative experience) in Statistics, Computer Science with industry experience in Machine Learning/Deep Learning/Graph Analytics. 
Proven experience in building and leading end to end ML solution, from the use case analysis and feature selection to its production deployment and continuous improvement. 
Solid Python coding skills and hands-on experience with ML libraries such as sklearn, PyTorch, or TensorFlow. 
Experience of working with AWS technologies. 

 

Desirable 

 

Experience of working in financial, credit & risk reporting domain. 
Track of community engagement via blogs, Kaggle participation, Opensource contributions & publications. 
Cloud Computing knowledge and certification. 

 

Creditsafe is an equal opportunities employer that values diversity. Please contact Creditsafe if there is any support you need with your application."
83c763c0d19e42c1ab8206ab098a2ee1,Dell Technologies,Senior Data Scientist,Ireland Remote,"Join us as a Data Scientist on our Personalization team in Ireland to make a profound impact on customers across Dell Ecommerce.

We are looking for a curious and highly analytical data scientist with a passion for machine-learning, research and innovation.

Your goal will be to design and develop models that help our team draw insights and make predictions to make better decisions.

You will

Join discussions to frame problem statements, develop hypotheses, design data frames, recommend modelling approaches, measure success & testing criteria
Analyse large amounts of information to discover trends and patterns
Build predictive models and develop algorithms to address business problems
Present information and solutions using data visualization techniques
Collaborate with engineering and product development teams


About You

Bachelor's degree or higher in computer science, data science, mathematics, statistics, engineering or a related field.
3+ years of experience in predictive modelling and analysis
Solid Knowledge of Python or R especially in data wrangling, analysis, and modelling.
Experience with one or more data science technologies, such as machine learning (e.g. scikit-learn, PyTorch), concurrent data processing (e.g. Spark), natural language processing (e.g., NLTK, spaCy), data visualization Tools (e.g. matplotlib, ggplot, seaborn, d3.js.)
Excellent communication and presentation skills


Nice To Have

Experience with deploying models in production
Interest in writing tech articles for technical and/or non-technical audience


About the team:

Personalization teams work to democratize the process of pages and applications personalizing customer experience across Dell.com

We connect the strong infrastructure, the power of ML, the customer behaviour data and various teams and stakeholders to provide the customer with the uniform, consistent, yet sensitive and helpful experience across the entire site.

We are global, the features we work on are designed to work everywhere, for everyone, anytime.

We are serving both Consumer and Commercial, open for both online and offline, in multi- or zero-segment environment.

We are customer-first, with customer privacy at the top; we believe that personalized experience must be a better and safer experience.

#LIRemote

Job Id: R166161Job Function: Information Technology"
6b7e8d556433490e85668772787f5fbb,Planet,Lead Data Scientist,"Galway, County Galway, Ireland Remote","Life At Planet




Do you love putting smiles on faces? Do you want to work in an environment that is obsessed with making customers and employees happy? Do you want to be part of a global mission to revolutionise commerce and payments? Do you want to be working in a progressive organisation with the ambition to be the global player in what we do? If you do, then this role could be for you….




You will be able to find current vacancies on : https://www.weareplanet.com/careers




Here at Planet we are extremely proud of our heritage of over 30 years. And it is what makes us a unique payment partner for many of the world's most prestigious brands. We don't just provide world class commerce and payment services, we generate revenue for our customers, and we help them grow. In the early days, we set out to simplify the complex payment process of VAT refunds for international shoppers in Europe. Fast-forward to today, and our single payments platform is unique in the industry - the only one that offers acquiring, processing, digital wallets, VAT refunds and currency conversion services. We have recently integrated several other tech businesses - Protel, Hoist, Datatrans, Proiximis - to help us to continue to grow and dominate the market as we set about our mission of being a world leader. And with strong Private Equity Investors from Advent International and Eurazeo, we are well set up to win.




We know that it's our people that differentiates who we are and what we do…and that is why we are keen to hire world class talent like you. 




Role Overview 

We are looking for a Lead Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.

In your role it will be required to perform exploratory data analysis over large sets of structured and semi-structured data with the objective to find opportunities for data oriented products or process optimization, as such the right candidate will require to have the passion, knowledge and high critical thinking to help planet drive the business.




What you'll be doing

· Hire, manage, and coach a team of Data Scientists

· Strong leadership, vision and passion to build and drive a Data Scientists team to create changes in business partnerships, analytics, and metrics/reporting

· Supports the technical work delivery in Product release cycles to achieve effective utilisation of team resources

· Making sure that team processes and best practices are followed

· Working closely with stakeholders, maintaining a clear and continuous communication about status and expectations

· Proposing solutions and strategies to business challenges

· Building predictive models

· Building machine learning models

· Exploring data for trend and patterns detection

· Collaborating with engineering teams to deliver data oriented products




Who you are

· Proven experience as a Data Scientist (2 years minimum)

· Knowledge in feature engineering

· Knowledge in machine learning methodologies

· Knowledge in big data frameworks (Spark, Hadoop or others)

· Knowledge in math and statistics

· Knowledge on how to assess the accuracy of models

· Knowledge on how to perform hyper parameter tuning

· Able to develop A/B testing on models

· Experience in Python or equivalent

· Experience with machine learning frameworks (Panda, Tensorflow or others)

· Experience in experiment management tools (Neptune, Comet, MLFlow or others)

· Experience on cloud computing is a plus (Sagemaker, Databricks or others)

· Fluent in English




What do we offer and why should you join us?

We don't shy away from wanting to hire great people to deliver amazing things for our customers. And once you join us, we want to keep you motivated and engaged in our collective mission.




Competitive Pay

We don't want you to worry about your pay and wonder if you can have it better someplace else. We follow the market and evaluate salary benchmarks through the year to make sure any salary increases remove any worries and keep you satisfied. We review pay annually to make sure we are paying you what you're worth.




Growth and skills 

We know that for some it's about growing into more senior and exciting roles, and for others it's about becoming a deep technical expert. No matter what your ambition, we are with you all the way. We know that investing in you is the way to keep skills relevant and you motivated.




Flexible working 

Work from home? Work in the office? Have family and life commitments that mean you need flexibility? What we care about is what you deliver not where you work nor the hours you work. We know flexibility matters and that's why we offer the flexibility that suits you and your lifestyle.




An array of people

We know that to win, our workforce needs to reflect the world in which we live and the customers we serve. We are proud that we have a culture where everyone and anyone can bring their whole selves to work.




Ready to meet us? 

We hope this role sounds exciting and could be your next step. If so, we'd love to meet you - click the button to apply. Go on. Make our day."
74670c2019d34179a6467422248abb0d,TIBCO,Data Scientist,"Dublin, County Dublin, Ireland","Overview

In this role, you will stimulate advancement of our Adoption, Expansion and Renewal processes for the front line Customer Success Teams, supporting them through expertise in data science. As part of the Customer Success Operations team, you will partner with leadership on the CS, Renewals, Product and Data Science teams. Whether you are speaking with the VP of CS, a data science director or the chief customer officer, you will constantly be challenged to come up with new and creative AI/ML models which drive outstanding customer satisfaction and value for TIBCO.

This is an exciting role for a smart, creative person with a strong technical background and desire to apply their skills in a stimulating scientific environment with real world application meeting today’s business needs.

Your Work Will Include

Engage key business stakeholders and leadership teams to recommend and develop AI/ML models that will be deployed into operational systems.
Develop creative data-centered solutions to tackle complex business problems
Demonstrating advanced technologies and engaging on proof-of-concept business initiatives with rapid turnaround.
Creatively develop innovative applications/platform features, framing the future direction for TIBCO technologies.

This is a full-time placement with significant opportunities for personal development. The role is based in Dublin, or can be based in other countries in Europe with a TIBCO office.

What You'll Do

In this role, you will stimulate advancement of our Adoption, Expansion and Renewal processes for the front line Customer Success Teams, supporting them through expertise in data science. As part of the Customer Success Operations team, you will partner with leadership on the CS, Renewals, Product and Data Science teams. Whether you are speaking with the VP of CS, a data science director or the chief customer officer, you will constantly be challenged to come up with new and creative AI/ML models which drive outstanding customer satisfaction and value for TIBCO.

This is an exciting role for a smart, creative person with a strong technical background and desire to apply their skills in a stimulating scientific environment with real world application meeting today’s business needs.

Your Work Will Include

Engage key business stakeholders and leadership teams to recommend and develop AI/ML models that will be deployed into operational systems.
Develop creative data-centered solutions to tackle complex business problems
Demonstrating advanced technologies and engaging on proof-of-concept business initiatives with rapid turnaround.
Creatively develop innovative applications/platform features, framing the future direction for TIBCO technologies.

This is a full-time placement with significant opportunities for personal development. The role is based in Dublin, or can be based in other countries in Europe with a TIBCO office.

Who You Are

2+ years of experience in data analytics and delivery of demonstrations, projects, engagements or deployed software applications involving predictive analytics such as machine learning.
Ability to understand data and data goals, find solutions that are appropriate to the task.
Demonstrated proficiency to comfortably and clearly communicate with stakeholders, provide compelling presentations demonstrating analytics software, and capture the business value of analytics projects.
Proven active contribution to projects with an intellectual curiosity that inspires and engages colleagues.
Passionate and knowledgeable about coding, statistics, and mathematics.
Experience in data mining
Programming skills in Java or a similar language.
Experience with BI tools e.g. Spotfire, Tableau, Qlikview, SPSS, KNIME and/or other data science tools.
Familiar with relational databases and writing SQL queries.
Demonstrated understanding of mainstream stats and ML methods
Experience in developing and deploying machine learning models
Knowledge of R, SQL, and Python; familiarity with Scala, Java or C++ is an asset
Python development expertise specific to data mining, data visualization, data wrangling, statistical analysis, and machine learning.

Good To Have

Cloud and open-source technologies (i.e. Kafka, Hadoop, Spark)
Machine Learning library and frameworks like Tensorflow
A degree in Computer Science, Statistics, Data Science or related analytical field of study, with classes in statistics and data mining.
Proficiency in the Windows environment; Linux is a plus.
Language skills: Business level English; other languages are a plus.

Please note you must have full working rights for the country you are applying for. If on a work permit or visa please make sure the details along with expiry date are included on your application.

Applications and CVs MUST be in English.

TIBCO is an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation or age.

Important: Please note that we have updated our Candidate Data Privacy policy and can be found here: https://www.tibco.com/careers/candidate-privacy

#MSL

"
75fb4db6f8b2472a9987fd2492a99796,IBM,Data Scientist,"Dublin, County Dublin, Ireland On-site","530432BR

Introduction

As a Data Scientist at IBM Watson Health, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. You will work with best-in-class open source and visual tools, along with the most flexible and scalable deployment options. You will work to solve real world problems for the healthcare industries transforming how we live.

Your Role and Responsibilities


Work with internal and external stakeholders to understand needs of healthcare analytic solutions and formulate problems to be solved using data and machine learning driven approach.
Identify data required to solve a problem and evaluate feasibility to solve the problem using analysis.
Develop and implement new algorithms for processing, analyzing and transforming data and build machine learning models to solve the problem in collaboration with other internal technical and engineering teams.
Iteratively refine and implement analytic approaches based on feedback from multiple stakeholders.
Perform ad-hoc studies and develop analytic reports.
Formulate validation strategies to ensure accurate and reliable data.
Follow best practices for developing analytic methodologies and software.


Required Technical and Professional Expertise


Bachelor’s degree in biostatistics, computational biology, computer science, mathematics, operations research, statistics, or related fields.
Development Skills – Proficient in scripting and data manipulation languages and packages, such as Python/Pandas and SQL. Highly skilled in data manipulation, machine learning and statistical packages such as Sci-kit learn.
Analytical Skills – Able to compare, contrast, and validate work with keen attention to detail. Skilled in working with “real world” data including scrubbing, analysis and transformation.


Preferred Technical And Professional Expertise


Master’s degree in biostatistics, computational biology, computer science, mathematics, operations research, statistics, or related fields.
Health Data Expertise – Two or more years of experience in manipulating and analyzing large-scale health administrative claims (Commercial and/or Medicare), billing, operational, and clinical/EHR datasets.
Development Skills – Experience with technologies for scalable processing of large datasets, such as Spark. Demonstrated ability to quickly pick up new programming languages as needed.
Communication Skills – Effective at working independently and in collaboration with other team members. Capable of clearly presenting findings in oral, written, and graphical formats.
Problem Solving Skills – Able to plan work, set clear direction, and coordinate own tasks in a fast-paced multi-disciplinary environment. Proficient at triaging issues, identifying data anomalies, and debugging software.


About Business Unit

IBM’s Cloud and Cognitive software business is committed to bringing the power of IBM’s Cloud and Watson/AI technologies to life for our clients and ecosystem partners around the world. IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software solutions for business and IT operations, development, data science, security, and management. Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT estate, and automate operations with management visibility. With IBM, you also have access to new skills and methods, governance and management approaches, and a deep ecosystem of industry experts and partners.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

IBM wants you to bring your whole self to work and for you this might mean the ability to work flexibly. If you are interested in a flexible working pattern, please talk to our recruitment team to find out if this is possible in the current working environment.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
7178c7de8bbf4d4c836448f3d459bd31,Eaton,Senior Data Scientist,"Dublin, County Dublin, Ireland","The Centre for Intelligent Power located at Eaton’s global headquarters in Dublin, applies data science to transform all aspects of our company. We’re working on solving the technical challenges of today’s digital world, while developing groundbreaking technology that’s going to power the next generation of futuristic products and services. Our multidisciplinary team of data scientists, data engineers and UX/UI designers are developing products based on AI, Edge computing and Machine learning.

We’re continuing to expand our organization and now recruiting a Data Scientist who is passionate about his or her craft. The Data Scientist will be directly involved in the application of statistics, machine learning, and analytic approaches to answer challenging business questions. This work will help businesses across the enterprise solve critical business problems, uncover new business opportunities, and turn their large volumes of data into valuable, actionable insights.

Eaton is a power management company with 2020 sales of $17.9 billion. We make what matters work. Everywhere you look—from the technology and machinery that surrounds us, to the critical services and infrastructure that we depend on every day—you’ll find one thing in common. It all relies on power. That’s why Eaton is dedicated to improving people’s lives and the environment with power management technologies that are more reliable, efficient, safe and sustainable. Because this is what matters. We are confident we can deliver on this promise because of the attributes that our employees embody. We’re ethical, passionate, accountable, efficient, transparent and we’re committed to learning. These values enable us to tackle some of the toughest challenges on the planet, never losing sight of what matters.


Ddemonstrate exceptional impact in delivering multi-disciplinary projects in the Data Science Team
The ideal candidate will have experience in designing and training models, integrating data from disparate systems, cleaning data. 
Hands on experience of working with Python and/or R and associated tools/IDE’s (e.g. TensorFlow, scikit-learn, numpy, pandas)
Derive, interpret and effectively deliver the results of data analysis using visualization techniques, tools, custom applications, or by narrating stories about the solutions to business problems
Understand traditional and new data analysis methods that can build statistical models and discover patterns in data
Work with business stakeholders and engineering teams, ask the right questions to create high quality solutions that solve end-user problems.
Utilize a range of techniques in artificial intelligence
Provide work estimates and participate in design and implementation reviews

Your essential skills we are looking for: 

Requires a minimum of a Master’s degree in computer science, software engineering, statistics, applied mathematics, engineering, physics or an equivalent field
2-4+ years’ of progressive experience in developing and designing technology solutions
Minimum of 2 years of practical data science experience in the application of artificial intelligence, statistics, big data techniques and/or other analytics approaches
Hands-on experience of Python, R and/or similar programming languages 
Experience designing and training models, integrating data from disparate systems, and cleaning data
Experience in the use of data visualization tools
Basic understanding of SQL and/or Hive (or similar language) to perform ad hoc queries of large datasets
Excellent verbal and written communication skills including the ability to effectively explain technical concepts

Advanced degree and/or specialization in related discipline (e.g. machine learning)
Knowledge of cloud development platforms such as Azure or AWS
Experience working with optimization algorithms to solve data rich real-world problems
Experience publishing in research conferences/journals and/or patents

What you will get from us

Eaton’s mission is to improve the quality of life and the environment through the use of power management technologies and services. We provide sustainable solutions that help our customers effectively manage electrical, hydraulic and mechanical power – more safely, more efficiently and more reliably. Making what matters work at Eaton takes the passion of every employee around the world. We create an environment where creativity, invention and discovery become reality, each day. It’s where bold, bright professionals like you can reach your full potential—and where you can help us reach ours. Eaton’s 2020 revenues were $17.9 billion, and we sell products to customers in more than 175 countries. We have approximately 85,000 employees.

We make work exciting, engaging and meaningful for our employees through our dedication to tackling some of the toughest power management challenges on the planet and by never losing sight of what matters. Our culture is built on a strong commitment to practicing our core values and supporting our employees with the tools they need to succeed. We pledge to always foster a diverse and inclusive environment, including inclusion resource groups that bring together employees who share a common purpose, interest or background. In the past year, our company has received top employment recognition by the Human Rights Campaign and almost fifty percent of our Board of Directors represented diverse groups. When we embrace the different ideas, perspectives and backgrounds that make each of us unique, we — as individuals and as a company — are stronger.

We have demonstrated our passion for sustainability with the recent announcement of cutting carbon emissions from the company’s operations by at least 50 percent by 2030. We are ethical, passionate, accountable, efficient, transparent and committed to learning. We are confident we can deliver on our promise to improve the quality of life and the environment because of the attributes that our employees embody.

We are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law.

Job: Engineering

Region: Europe, Middle East, Africa

Organization: Corporate Sector

Job Level: Individual Contributor

Schedule: Full-time

Is remote work (i.e. working from home or another Eaton facility) allowed for this position?: Yes

Does this position offer relocation?: No

Travel: No

"
0721a0cd6646481b83eea8e4c31530bc,Realtime Recruitment,Senior Data Scientist,"Dublin, County Dublin, Ireland Hybrid",
b42332e8880f454599ee38776c3e86ea,Allen Recruitment Consulting,Senior Data Scientist - Graphical Models & Recommender Systems,Ireland Remote,"Senior Data Scientist - Graphical Models & Recommender Systems




Our client is a leading international mobile services provider.




They are looking to hire a Senior Data Scientist - Graphical Models & Recommender Systems with extensive research experience, to join their expanding team on an initial 12-month contract.




In this role, you will have the chance to work on projects that impact millions of people, explore novel ways to build recommender systems, and provide the most relevant items to users.




Our client is currently conducting all interviews online and are onboarding all new workers remotely.




Job Reference: BBBH 21494




Your role will involve;

Build new recommender systems algorithms that works.
Literature review and investigate the state of the art.
Dataset acquisition.
Build models with novelty, applicability, and practicality in mind.
Model evaluation and iteration
Write documentation, papers, or patent application (whichever applicable)
Navigate ambiguity that might occur in the projects or relationship with stakeholders
Building a demonstration system to showcase strength of value.




You must have as a minimum;

Research experience, e.g., you have a PhD, or have worked in a Research lab (or some other similar experience).
Software engineering background, e.g., you have a Computer Science background, or software engineering working experience.
Able to work independently and as a team and drive a project from its inception to the finish line on time.
Publication track records in top tier conferences or journals.




Benefits;

A very competitive salary.
25 days annual leave.
For Dublin candidates, Superb Dublin City Centre location close to all amenities and transport.
Laptop, mobile etc.
Plus, other usual benefits.




Still interested in this opportunity?

Submit your CV (in a Microsoft Word format) today!

OR

Perhaps this role didn't fully fit your criteria, not to worry - we have many similar roles advertised on our website - www.allenrec.com




Please don't hesitate to contact any of our team with any questions you may have on Email: or Phone: +353 1 6694040."
3f1a32c129ed4bdf83343100770013ee,CrowdStrike,Sr. Data Scientist,"Dublin, County Dublin, Ireland Remote","At CrowdStrike we’re on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection, allow our customers to not only defend themselves, but do so in a future-proof manner. Because of that we’ve earned numerous honors and top rankings for our technology, organization and talent. Our culture was purpose-built to be remote first, and we offer flexible work arrangements to help our people manage their personal and professional lives in a way that works for them. If you’re ready to work on unrivaled technology with a team that makes a difference every day, let’s talk.

About The Role

CrowdStrike EndPoint Protection team is expanding. We are looking for Data Scientists to help us build solutions with detections based on indicators of risk, analytics and risk scoring. You will have the opportunity to apply your coding, mathematical and scientific research skills to the bleeding edge of security technology. You’ll be able to leverage large-scale rich data to meaningfully improve our supervised learning models and refine our identification of malicious computer software and behavioral threats. CrowdStrike’s cybersecurity data is one-of-a-kind: we process over 1 trillion behavioral events per day and have over 2000 terabytes of malware samples in our research repository. We are a diverse and multidisciplinary team, and you’ll have the chance to broaden your horizons by working jointly with a team of Big Data, Machine Learning, and Security domain experts on hard and impactful problems.

What You'll Need

Undergraduate or postgraduate degree in a STEM field
Extensive post/undergraduate experience in data science, machine learning, or any field employing computational science or data driven analyses
Programming experience in Python or Scala

You Will

Mine large scale and high dimensional data, identify patterns, and visualize trends
Create predictive models using supervised learning techniques to detect and stop the most sophisticated threats
Innovate new semi-supervised and online learning techniques to enhance our threat detection capabilities and reduce nuisance false positives for our customers.
Work closely with domain experts to improve our raw data and to derive more value from data collected
Hone your ability to balance detail-oriented research with goal-oriented business objectives
Implement and experiment with new algorithms and methodologies to help improve our machine learning models
Automate and visualize analyses, results and processes in our machine learning pipeline

You Are

Passionate about cybersecurity, with a firm understanding of the problem space or passionate about applying your machine learning skillset to new domain areas such as cybersecurity
Versed in utilizing Machine Learning techniques and familiar with the standard algorithms, their trade-offs, their usage, and how to tune them
Have experience working on very large data sets of sparse high dimensional data and experience in pre-processing and analyzing such data to gain actionable insights
An independent self-starter who likes to take ownership and independently seeks out new challenges
Thirsty for knowledge and do not hesitate to step outside of your comfort zone to learn new technologies, algorithms and concepts
Comfortable to dive into a Python codebase, including experience with unit testing and the python packaging ecosystem
Comfortable and experienced working in a Linux environment in the AWS cloud
Analytically minded: never afraid to drill down into a data-set, or debug-deeper into an unfamiliar codebase

Benefits Of Working At CrowdStrike

Remote-friendly culture
Market leader in compensation and equity awards
Competitive vacation and flexible working arrangements
Paid Parental Leave, including adoption
Wellness programs
A variety of professional development and mentorship opportunities
Open offices have stocked kitchens, coffee, soda and treats

We are committed to building an inclusive culture of belonging that not only embraces the diversity of our people but also reflects the diversity of the communities in which we work and the customers we serve. We know that the happiest and highest performing teams include people with diverse perspectives that encourage new ways of solving problems, so we strive to attract and develop talent from all backgrounds and create workplaces where everyone feels seen, heard and empowered to bring their full, authentic selves to work.

CrowdStrike is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.

"
