ID,Company,Job Title,Location,Description
efe1290b1274488582d2186577a48d2b,Genesys,Sr. DevOps Engineer - MultiCloud Authentication Services,"Galway, County Galway, Ireland","Location:

For this role we are open to candidates being eventually office based in Galway, remote workers within Ireland long term or a mix of both.

Summary:

Genesys Multicloud is in hypergrowth. Our Customers are big, complex and successful businesses across multiple industries, who have most sophisticated requirements for their Customer Engagement systems. To deliver service that matches Genesys Multicloud reputation, we are seeking the most talented software engineers to build the best services available on the market. Authentication service is a centrepiece of Multicloud, a highly available and robust software service which implements modern highly complex authentication and integration flows. We are looking for an engineer who is passionate about technology, loves to learn, collaborate and solve interesting challenges as part of the Authentication team. Your software engineering skills will be applied to DevOps activities.

We are looking for someone who:


Has strong debugging, and problem-solving skills.
Enjoys new technical challenges and excels at solving them.
Demonstrates effective communication and cross-team collaboration skills.
Works with our software and QA engineers to ensure that development follows established processes and works as intended.
Works with our Security team ensuring that systems are safe and secure against cybersecurity threats.
Identifies technical problems and helps with developing software updates and fixes.
Participates in all stages and activities of our service lifecycle.
Along with the rest of the team, provides level 2, 3 support for our service to the external teams. You will have strong ownership of the team’s code and will be willing to share on call rotations for emergency service support.
Develops scripts to automate service rollout, active monitoring and recovery.
Performs root cause analysis for production errors.
Writes code and tests if necessary.


What you will bring to the role:


Solid hands-on experience with any public cloud: AWS, Azure, GCP
Experience as a DevOps Engineer or similar software engineering role
Good knowledge of AWS core services: EC2, VPC, CloudFormation, RDS, ECS, EKS, S3, Route53 etc.
Good knowledge of Docker, K8s, Terraform, Helm charts
Knowledge of programming languages such as Python, golang
Proficient with CI/CD, git and git workflows
Working knowledge of databases


Beneficial but not must have experience would include:


Practical knowledge of Java
Knowledge of Azure AKS
Knowledge of oAuth 2.0, SAML 2.0 and OpenID Connect protocols
Experience developing engineering applications for a large corporation


Benefits:


Flexible work schedules and work from home options
Development and career growth opportunities
Excellent pension scheme
Bonus scheme
Health Insurance
Income Protection & Life Assurance
Family friendly leave allowances, including paid maternity and paternity leave.


Covid-19:

Safety for our employees and our communities is a key priority for Genesys. We continue to experience rapid growth during the Covid-19 pandemic and are conducting remote hiring and onboarding processes. All hiring and onboarding processes are being conducted remotely at this time.

As our Covid-19 task force and internal teams plan to reopen our global offices, the policies and procedures will continue to be updated.

Reasonable Accommodations:

If you require a reasonable accommodation to complete any part of the application process or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you or someone you know may complete the Reasonable Accommodations Form for assistance. Please use the Candidate field in the dropdown menu to ensure a timely response.

This form is designed to assist job seekers who seek reasonable accommodation for the application process. Submissions entered for non-accommodation-related issues, such as following up on an application or submitting a resume, may not receive a response.

About Genesys:

Every year, Genesys® orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. Through the power of our cloud, digital and AI technologies, organizations can realize Experience as a Service℠, our vision for empathetic customer experiences at scale. With Genesys, organizations have the power to deliver proactive, predictive, and hyper personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. By transforming back-office technology to a modern revenue velocity engine Genesys enables true intimacy at scale to foster customer trust and loyalty. Visit www.genesys.com

Genesys is an equal opportunity employer committed to diversity in the workplace. We evaluate qualified applicants without regard to race, color, age, religion, sex, sexual orientation, gender identity or expression, marital status, domestic partner status, national origin, genetics, disability, military and veteran status, and other protected characteristics.

Please note that recruiters will never ask for sensitive personal or financial information during the application phase.

"
feb4126ed2034fe59833d6eeb6904a47,IT Search and Selection,DevOps Infrastructure Engineer (Contract),"Dublin, County Dublin, Ireland Hybrid","DevOps Infrastructure Engineer (Contract) required for rolling 6 month day rate contact in Dublin. Ideally candidate would be able to work onsite in Dublin City Centre 1 – 2 days week. The opportunity is to join a newly established team working deliver a high standard of services to upgrade existing OpenShift platform and create efficient methods to onboard approximately 150 deployments from the existing architecture. 




Day Rates are C600 / day 

 

Responsibilities:

Specifying the infrastructure requirements (including networking)
Installing the OpenShift solution in the customer environment and integrating it with underlying infrastructure, e.g. RHEL OpenStack, AWS, VMware or similar IaaS technologies
Setting up the networking and services used by OpenShift (e.g. DNS, Load balancer, etc.)
Setting up OpenShift users, projects, roles, etc.
Setting up and managing SSL certificates within OpenShift




Skills and Technology Requirements:

Have a strong DevOps background and knowledge in infrastructure deployment projects.
Hands-on Linux experience, preferably with RedHat Enterprise Linux and with solid knowledge of Linux networking (addressing, routing, etc.)
Jenkins - Pipeline (Groovy), Kubernetes and Gitlab integrations
Working knowledge of cloud architectures, e.g. OpenStack, AWS, etc.
Virtualisation, e.g. VMware, KVM, oVirt, etc.
Cloud networking (SDN) and storage (object and block) knowledge.
Automation techniques and DevOps processes."
bf11405ff7b1426bb131a70b09e549fb,Retail inMotion,DevOps Engineer,"Dublin, County Dublin, Ireland Hybrid","Part of a dedicated DevOps team, this role will be responsible for the management and development of continuous integration and deployment solutions for production applications. You will be a key stakeholder in the migration of solutions to new microservices based platform and also supporting an existing monolith. You will mentor and advise the Engineering and SRE teams while also ensuring the underlying tooling for the CI/CD pipeline runs smoothly.




 

How you will make a difference:

Provide direction and support to Engineering and SRE teams to ensure we implement best industry DevOps practices in a secure, scalable and reliable way;
Good communication skills with excellent attention to technical details and ability to deliver clear direction;
Mentor and advise the Engineering team;
Deliver infrastructure-as-code solutions to manage all infrastructure platforms including microservices, monolith and mobile solutions;
Ensure delivery of full CI/CD pipeline;
Ability to work in a fast-paced environment while effectively communicating with a geographically dispersed team.







The skills you will bring: 

Bachelor’s degree or equivalent
3 years minimum experience working in relevant related role (Senior software/DevOps engineer)
Strong knowledge and experience with Docker, Kubernetes, Helm
Build and deployment (Jenkins, Octopus Deploy or similar)
Architectural knowledge of the Amazon Web Services (AWS)
Experience with Infra as code/Config as code e.g. Terraform, Ansible
System monitoring and alerting (Nagios, Prometheus, Grafana, New Relic, Graylog or similar)
Use of Git/Bitbucket or similar, source control integration
Experience with shell scripting (Bash, PowerShell)
Windows and Linux administration
Databases – SQL Server, MongoDB (Atlas)
Good understanding of DevSecOps principles"
9a11b7f5512c493ba007385b8af9ba77,Informatica,DevOps Engineer,"Dublin, County Dublin, Ireland","Job Number: 33114

Position Title: Software Engineer

DevOps Engineer

Our Team

DevOps is a key function within Informatica as we grow our business and focus on cloud based solutions. Delivering quality solutions to our customers is our top priority. As part of our DevOps team, you will work with geographically diverse experts as we scale our infrastructure to support hosted environments for our customers.

Your Opportunity

You will join a growing team and will be responsible for DevOps and Operations for several Informatica products. Our environment uses Agile methodologies and works closely with the Research and Development teams to ensure high-quality, stable environments for our customers.


Ensure security, performance and high availability of all environments by applying Infrastructure as Code principles.
Enabling deployment to cloud and on premise environments.
Create automated Infrastructure administration workflow capabilities by removing bottlenecks and inefficiencies.
Continuously look for opportunities to improve upon the development and build capabilities in the team.
Share your experience and knowledge with other members of the DevOps team. 

Experience in Linux Administration and Cloud environments.
Experience with LAMP stack applications.
Linux administration experience e.g. RedHat & CentOS.
Good scripting skills in bash and at least one of Go/Python/PHP/Javascript.
Experience with Virtualization and Cloud e.g. VMware and AWS.
Exposure to Docker and containers.
Exposure to Java environments and microservices.
Familiar with Agile development lifecycle and practices- TDD, CI/CD.
TCP/IP and network administration, VPN, Firewalls.
AWS resource management with CloudFormation and/or Terraform.
Continuous integration with Puppet (preferred) or Chef.
Jenkins, Gradle or other OSS CI tools.
Knowledge of RDBMS e.g. Postgres. MySQL; Familiarity with NoSQL Databases e.g. MongoDB a plus
Any experience with administering Solr or ElasticSearch and RabbitMQ or similar would also be welcome.
Experience with Spinnaker is preferable.
Excellent command of the English language.

City: Dublin

Seniority Level: Associate

Alternative Location(s) :

Community / Marketing Title: DevOps Engineer

# MG1

Where data is poised for greatness

A career with Informatica gives you all the opportunities and benefits that can only come from working for the trusted industry leader. By joining our team, you'll be able to solve real-life problems, make a difference, have a global impact, and join a supportive group of globally diverse teammates. We encourage you to be yourself, grow with us and help us create a world where data is poised for greatness.

We’re driven by our DATA values and we are passionate about building and delivering solutions that accelerate data innovations.


Inclusion, diversity, equality and belonging (IDEB) – our commitment to fostering a culture that celebrates our unique differences 
Comprehensive and competitive health and wellness benefits, including paid parental leave and adoption benefits, and 401k plan or international pension/retirement plans
Flexible time-off policy and hybrid working practices
Global recognition program for employees and leaders to reward and recognize each other
Global learning organization with mentorship opportunities and a tuition reimbursement program to support your professional and personal growth
Equity opportunities and a robust employee stock purchase program (ESPP)
Comprehensive Mental Health and Employee Assistance Program (EAP) benefit
Referral Bonuses

All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.

Informatica, the Enterprise Cloud Data Management leader, empowers businesses to realize the transformative power of data. We have pioneered a new category of software, the Informatica Intelligent Data Management Cloud (IDMC), powered by AI and a cloud-first, cloud-native, end-to-end data management platform that connects, manages and unifies data across any multi-cloud, hybrid system, empowering enterprises to modernize and advance their data strategies. Customers in more than 100 countries and 85 of the Fortune 100 rely on Informatica to drive data-led digital transformation. For more information, visit us at www.informatica.com, LinkedIn, Twitter, and Facebook.

Travel Requirement: Up to 25%

"
f4992ec46981407f9d9c159eaffc6bb2,Microsoft,"Site Reliability Engineer: Graduate Opportunities, Ireland, Start date: Autumn 2022","Dublin, County Dublin, Ireland","Location: Ireland, Dublin

Start Date: Autumn 2022

Duration: Full-Time

Every year, we welcome thousands of university students from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.

At Microsoft, engineers early in career work on real-world projects in collaboration with teams across the world, while having fun along the way. You’ll be empowered to build community, explore your passions, and achieve your goals. This is your chance to bring your solutions and ideas to life while working on cutting-edge technology. The internship is designed not only for you to do great work with the opportunity to learn and grow, but to experience our culture full of diverse community connection, executive engagement, and memorable events.

We’re a company of learn-it-alls rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.

Are you ready to join us and create the future? Come as you are, do what you love—start your journey with us today! 

Azure Reliability is a multidisciplinary engineering organization tasked with leading reliability holistically across the Azure platform. Our goal is to Make Azure the World’s Safest and Most Reliable Cloud.

For the most important Azure services and products, Azure Reliability adopts the Site Reliability Engineering (SRE) approach, where skilled teams of software engineers collaborate closely with product development teams to improve the availability, reliability, observability, and operability of our planet-scale distributed systems.

Azure SRE teams strive to improve reliability fundamentals via software engineering, preferring long-lasting platform improvements delivered as engineering projects over repetitive manual operations. We contribute to the product fundamentals and architecture, share knowledge, and code, and prefer reuse over re-invention, always looking for ways to make what we build useful to multiple teams and products.

Site Reliability Engineers (SRE's) are people who take engineering-based approaches to solving operations problems: we like infrastructure, we like seeing how big complicated things work, and most importantly, we gain great satisfaction from making it better.

We are looking for Software engineers with an interest in improving systems - Site Reliability Engineering, Dev/Ops, Production Engineering, service developers, distributed systems engineers, and others. Our goal is to empower teams to achieve their reliability goals by influencing produce architecture and roadmaps to ensure that customer-experienced reliability is always a key consideration. 
We help build, design, and support the next generation of shared services such as Security Automation, Telemetry, and Service Intelligence.
We are passionate about improving customer experience by reducing labor-intensive processes through design, development, and automation. 
We look at outages as opportunities to learn and improve.

Software Engineering skills with a focus on CI/CD and Release Management; SRE or Production Engineering.
Familiarity with modern design techniques to read/write/configure code.
Exposure to enabling and managing cloud services, usage, and optimizations.
Exposure to resilience modeling (failure mode analysis), human factors, or other outage review techniques.
We are focusing on individuals planning to conclude studying (having final graduation) in 2022.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
a647eced3da94c9eb8d16cfc8ef075c0,JPMorgan Chase & Co.,Site Reliability Engineer,"Dublin, County Dublin, Ireland","As a member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:

 Act as a key contributor in the continued development of tools, frameworks & techniques to improve productivity and Quality of Production management function, adopting the DevOps principles to manage and support the environment.
 Hands-on, technology-focused individual, who enjoys working through hard technical problems. Knowledge of Python, Shell scripting and SQL.
 Recommend solutions to solve generic issues in systems and procedures to avoid recurrences of system or operational failures.
 Recommend system changes to reduce required manual intervention in either monitoring or managing system performance/availability.
 Be able to develop and maintain strong relationships with Application Development and DevOps Leadership

Domain: Trade Life cycle to settlement, Position Management, Valuation, Asset Servicing


 Design and Use Monitoring Dashboards for day to day Support
 Generate Service KPIs, reports on service stability and performance.
 Liaise with Dev and QA teams for release management
 Run incident calls for client outages
 Incident Management and Tracking
 Participate in Change Management calls
 Engage with OPS and client support teams on user query resolutions
 Log & Message bus monitoring: Splunk ELK Geneos AppDynamics DynaTrace
 Expertise in Excel, Macro and Powerpoint will be an advantage

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
3cf84f31c8fc427a9c55e1daa3fdf533,AI Fund,DevOps Engineer,"Dublin, County Dublin, Ireland","Full Time, Remote

Our mission is to make the best mental health tools accessible for everyone, as we bring mental healthcare to the masses. 

We’re a venture-backed startup building tools to help millions of people monitor, regulate and ultimately improve their moods. Our tools are powered by the latest research in NLP and ML, use scientifically proven techniques from Cognitive Behavior Therapy, and are based on 10 years of digital mental health research at Stanford University. Our Chairman is Andrew Ng and Dan Jurafsky is a member of our advisory board, both globally recognized leaders in AI/NLP.

We are poised to redefine how people access mental health care and are building the dream team that’s excited about getting us there. You will be working with a modern technology stack that is built on an AWS, GCP and MongoDB cloud platform. Your ability to add new and critical features to Woebot while also refactoring parts of our current system will help provide the fuel that will help us get there.

Why You Should Join Our Engineering Team

You care about helping make quality mental health care realistically accessible to millions of people globally and are genuinely curious and effective in building complex scalable distributed systems.

You have the unique opportunity to create & improve our infrastructure; helping delineate Woebot into a premium offering which will ultimately become the new standard in digital therapeutics.

In the process, you’ll learn more about chatbots, serverless and ML deployment pipelines, product service and user data containerization and more. You’re energized by the idea of learning more about evidence-based psychological interventions and how to translate them into digital products that improve the lives of millions of people.

How You’ll Thrive

Ramping up


 In your first 4-5 weeks , you will have analysed and understood the entire Woebot CI/CD pipeline and the cloud services that the Woebot platform uses and have met with and understand the needs of the teams that you will be supporting in your role. You will have come up with a list of recommendations for improving the Woebot platform and responded to infrastructure change requests from members of the engineering, content or data teams. 


Improve Woebot from the ground up


 By day 45 you are becoming familiar with our tech stack and are now the first port of call when other teams need existing services modified or new services added. 
 By day 60 you’ve designed and built out one Infrastructure As Code solution that makes a tangible improvement to our platform and to the users who rely on it. 


Create systems that help us scale


 By day 90 you’re identifying platform problems before they happen and creating preventative measures to avoid them, as well as monitoring systems that detect when they occur. 
 Within your first few months, you are quickly learning, maintaining, and enhancing disparate systems across Woebot. 
 You will add new features while improving and refactoring the existing system along the way, maintaining Woebot’s current functionality as our product and team scales. 


This might be your next career move if


 You have 5+ years of experience building, deploying, monitoring and ensuring the reliability of staging and production platforms using Python, JavaScript or a similar language, and have a deep knowledge of AWS-based solutions - with Google Cloud Platform experience being an advantage. 
 You care about helping make quality mental health care realistically accessible to millions of people nationwide. 
 You’re excited about driving the deployment and scaling of a cutting-edge serverless tech stack. 
 You read voraciously about your field of expertise and enjoy bringing your learnings to the team in the form of recommendations for system improvement. You are a strong proponent of not only delivering new features but also of hardening systems along the way, making it bullet-proof to errors or outside attacks. 


Core Responsibilities


 Building and maintaining new development tools, services and infrastructure 
 Ensuring and monitoring the reliable operation of the Woebot platform 
 Supporting our CI/CD workflow 
 Writing Infrastructure as Code modules and validating them using unit tests 
 Supporting and improving our observability platform 
 Incidence management and root cause analysis 
 Working with our Head of Security to assist in the protection of cloud based systems against cybersecurity threats 
 Contributing to the writing and reviewing of Product Requirement Documents and Technical Design Documents 
 Compiling periodic reports on the health of the Woebot platform for the management and/or our customers 


We are looking for the following someone with the following experience/expertise


 5+ years of experience within a DevOps role 
 Experience of supporting cloud-native applications and mobile app clients 
 Solid experience and familiarity of Linux environments 
 A degree in Computer Science or AWS Certified DevOps Engineer – Professional or equivalent is an advantage 
 Expertise in designing, administering and managing an enterprise environment 
 Experience with enterprise system security and best practice protocols, with specific experience of handling HIPAA and GDPR governed data being an advantage 
 Experience optimising applications, both stand-alone and in distributed systems, to maximise performance 


Key technologies that we use


 Serverless Framework 
 AWS services 
 Deployment (CloudFormation, Cloud Development Kit, CodeDeploy) 
 Network management (Route 53, VPC) 
 Serverless API (API Gateway, Lambda, DynamoDB, SQS) 
 Operations: (Control Tower, Organisations, SSO) 
 Observability: (CloudWatch) 
 GitHub 
 CircleCI 
 MongoDB 
 Google Cloud Platform (BigQuery) 


Our core values


Empathic : You’re a compassionate person and a team player motivated to understand others and help them be successful, too. You care as deeply for your colleagues as you do for our mission and our users. 
Self-aware : You possess a high level of emotional intelligence, which allows you to understand yourself and others, and to have a healthy emotional life in the workplace. 
Proactive & flexible :You are able to hit the ground running, you take responsibility for finding a way to get the job done. You learn as quickly as possible and sometimes do things outside the immediate scope of your work, giving it all you’ve got. 
Strong work-ethic : You’ve mastered healthy habits in your life that allow you to do great things. You exemplify dedication and commitment to coming up with very good results in your work and inspire others to do the same. 
Growth mindset: You believe abilities – like intelligence and talent – can be developed through dedication and hard work. You see failure as an opportunity to grow and welcome feedback as a pathway to your continued success. 
Humble: You recognize that you are one among many, and you hold a genuine desire to discover what other people can offer. You are intrigued by how others think, and how others feel differently from you. You lean into these moments with patience and curiosity. 


Benefits


 Competitive Salary 
 Stock Options 
 Flexible PTO 
 Health, Dental & Vision 
 Healthy Snacks & Meals 


Woebot is an equal opportunity employer and we deeply value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status"
c5874d48aeb9494295976932e8dd5be8,Trellix,Sec DevOps Engineer,"Cork, County Cork, Ireland","Job Title

Sec DevOps Engineer

Role Overview

In this role, you will be responsible for injecting security checks into the existing development lifecycles. You will also help with defining, documenting, and implementing a continuous integration product security pipeline. You will work with existing tools and identify additional tools and processes required. You will work with various tools and cloud environments on multiple domains.

You will also play a key role in the automating and improving of existing Vulnerability Management process. You will thrive on working with other security teams in a dynamic and collaborative environment.

Company Overview

Organizations and governments around the world may have different priorities and transformation initiatives, but one thing in common is that all are faced with growing risk, advanced threats, and complex environments. Today, cybersecurity strategies are critical to long-term success, and McAfee Enterprise is here to provide the industry’s only comprehensive, proactive, cloud security platform. Our technology is designed to protect the people, hybrid infrastructure, IP, and reputation of your business through our actionable threat intelligence and world-class solutions. With a cloud-native portfolio that spans from device to cloud edge and multi-cloud, you can stay ahead of threats by predicting, preventing, detecting, and correcting them. Backed by our 30+ year history, you can trust that we have the focus, experience and expertise needed to continually innovate, and are committed to help you protect what matters most.

About The Role

Use programming skills to build and improve security tools and automation platforms
Develop integrations between various tools and our VM management system
Improve existing security process by automation and integration
Identify security gap of existing development process
Help development team add security tests into their CI/CD pipeline
Identify security risks of existing CI/CD pipeline of various teams and work with the teams to remediate them
Define, document and implement a CI pipeline for product security team
Improve the existing configuration and deployment of security tools
Add cloud support for existing processes
Support and manage the infrastructure and tools owned by VM team 
Deliver security metrics and improvement
Document security guidance, process and related policy
Champion security in the engineering organization


About You

Bachelor’s degree in computer science or a technology related filed required
At least 3 years of working experience in SecDevOps
Experience in configuration management (Puppet, Ansible etc), automation and orchestration
Experience of working within product development teams and usage of tools like GitHub, Jenkins (and Jira)
Advanced scripting skills with Python, Bash, SQL
Experience writing and maintaining tools and scripts to support automation and operations
Knowledge of system and network architecture and interrelationships (technical and functional)
Solid understanding of network technologies like DNS, Load Balancing, SSL, TCP/IP & HTTP/HTTPS
Experience with open source Big Data stack: HBase, Kafka, HDFS, Hadoop, Zookeeper
1+ years of automation using Unix Shell scripts, SaltStack, Puppet, Ansible etc
1+ years of experience in developing and deploying in Docker/Containers on Kubernetes
Experience and good understanding of Public Cloud Platforms (GCP, Azure, and/or AWS)
Excellent written and verbal communication skills
Demonstrable teamwork skills and resourcefulness
Possess self-drive to keep moving things forward even in the face of ambiguity and imperfect knowledge
Strong sense of ownership, urgency, and drive
Certificate of AWS (Amazon Web Services) is desired.


Company Benefits And Perks

We work hard to embrace diversity and inclusion and encourage everyone at McAfee Enterprise to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.

 Pension and Retirement Plans 
 Medical, Dental and Vision Coverage 
 Paid Time Off 
 Paid Parental Leave 
 Support for Community Involvement 


We're serious about our commitment to diversity which is why McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status."
19db99fbe6eb460088394195fddcebec,Dell Technologies,Senior DevOps Engineer,Ireland Remote,"Senior DevOps Engineer, DFS CoE Team

Dell Digital is transforming our workforce to be product aligned and in doing so will enable new business capabilities at a faster rate, increase in the quality, stability, and security of our software ecosystems and reduce the cost of software delivery. The DFS Release & Reliability Centre of Excellence (COE) team aims to enable this through centralizing specific functions to provide consistency and efficiency, coordinating certain DFS Digital activities and providing a single point of contact for DFS Digital into Dell Digital, supporting a high level of stability in production and providing appropriate governance, observability, monitoring, automation of our change, release and compliance processes.

Join us as a Senior DevOps Engineer, on DFS Release & Reliability Centre of Excellence team in to do the best work of your career and make a profound social impact.

What You’ll Achieve

The DFS CoE is looking for a Senior DevOps Engineer who will contribute to the driving governance, automation, process improvements that help in stability, reliability of our applications as we try to deliver fast.

You will be helping us drive standardization, building the required dashboards to measure the health of applications from release quality, code quality, and stability. You will have the opportunity to automate and support a process for driving product release governance, measuring feedbacks, identifying inconsistencies, etc.

We need a passionate individual who can scale across roles and is flexible to work with a diverse team. Strong Collaboration, communication skills will be a good fit.

You will:

Contributing towards Gitlab CI/CD standardization within applications under DFS Digital.
Developing Automated reporting dashboards to show versions, code quality metrics, security metrics, etc.
Work with the team, contribute in driving the software development process towards quality-centric methodologies and improved reliability, stability.
Pro-actively analyses current software delivery processes and practices and suggest/ drive improvements.
Provide Automation Support to DFS Release Management Team and drive automation that improves maturity .


Take the first step towards your dream career

Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements

Knowledge of DevOps engineering practices, CI/CD toolsets (e.g. Jenkins, GitLab, SonarQube, etc.)
Automation Experience – Python, Ruby, PowerShell, Grafana, etc.
Experience in deployment automation and CI/CD Pipeline stages/activities, experience on Docker/Containers and delivering applications in Blue/Green and Canary paths with good exposure to Git.
Experience building DevOps and Test automation capabilities from ground up for a cloud based and legacy software solutions.
Experience in Visual Studio, TFS, Git, Eclipse, Selenium, Cucumber, Spec Flow, DevOps tool chain and other Open Source tools.


Desirable Requirements

Release Governance, Test Governance experience.
Software Engineering Development Background – At least 4+years


Here’s our story; now tell us yours

Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We’re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.

What’s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life -- while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.

We started with computers, but we didn’t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what’s next in technology, starting today.

You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here.

Application closing date: 30 May 2022

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Employment Opportunity Policy here.

Job Id: R121821Job Function: Information Technology

"
a92802883b6747f6acd2d7b6ce0d8f38,Solas IT Recruitment,DevOps Engineer,"Dublin, County Dublin, Ireland Remote","My client is a leading provider of software products for travel operators globally. Due to expansion, they are looking for an experienced DevOps engineer to join their growing team. The successful candidate will be responsible for the management and development of their integration and deployment solutions.

 

The role:

Provide direction and support to Engineering and SRE teams to ensure we implement best industry DevOps practices in a secure, scalable and reliable way;
Good communication skills with excellent attention to technical details and ability to deliver clear direction;
Mentor and advise the Engineering team;
Deliver infrastructure-as-code solutions to manage all infrastructure platforms including microservices, monolith and mobile solutions;
Ensure delivery of full CI/CD pipeline;
Ability to work in a fast-paced environment while effectively communicating with a geographically dispersed team.

 

Requirements:

3 years minimum experience working in a relevant related role (Senior software/DevOps engineer)
Strong knowledge and experience with Docker, Kubernetes, Helm
Build and deployment (Jenkins, Octopus Deploy or similar)
Architectural knowledge of the Amazon Web Services (AWS)
Experience with Infra as code/Config as code e.g. Terraform, Ansible
System monitoring and alerting (Nagios, Prometheus, Grafana, New Relic, Graylog or similar)
Use of Git/Bitbucket or similar, source control integration
Experience with shell scripting (Bash, PowerShell)
Windows and Linux administration
Databases – SQL Server, MongoDB (Atlas)
Good understanding of DevSecOps principles"
