ID,Company,Job Title,Location,Description
c663b0033de04fd08158d3293ff01da5,Zendesk,Staff Software Engineer,"Dublin, County Dublin, Ireland Remote","Job Description

The Workflow Automation team is looking for a Staff Software Engineer with strong experience in delivering quality solutions at scale. The ideal candidate will have deep technical knowledge and experience in crafting distributed systems that are scalable, reliable, and resilient. A technical leader who understands the design trade-offs that come into play and navigates the team towards a carefully chosen solution.

Our team is responsible for the sales automation area of Zendesk Sell, which includes already existing features used by thousands of sales professionals, as well as new emerging functionalities. These projects directly improves the way our users handle their daily workload, and saves them their precious time.

What You’ll Be Doing

Capture requirements and design solutions in service-oriented architecture.
Lead and scope engineering projects and initiatives
Actively participate in coding, pair programming, reviewing pull requests and testing
Influence the technical roadmap to ensure a balance between feature delivery and cost of maintenance
Work across a broad range of technologies running on AWS: Ruby, Rails, Java, MySQL, Redis, Terraform, Docker, Kafka, AWS S3
Mentor & enable team members in their technical growth

Required Experience

What you bring to the role

Experience in dealing with sophisticated problems, staying open to debates and brainstormings
Identifying and applying relevant resiliency and observability patterns in a distributed system
Ability to craft object-oriented code following the best engineering practices
Experience with system architecture and API design
Empathy and strong communication skills
Mentoring and supporting more junior team members

Preferred Requirements

Proficiency using Ruby on Rails in a microservices architecture
Previous experience being a tech leader in an Agile team
Proven experience in developing non-trivial web application backends

Tech Stack

We write in Ruby using Rails as a framework running inside Docker containers on AWS machines. Our relational storage of choice is MySQL but there is a place for Redis, Elasticsearch, and some queuing using Kafka and RabbitMQ as well.

When possible we choose AWS services (Aurora, Elasticache etc.), while our delivery pipeline heavily relies on Github & Github Actions, and once deployed we monitor the system using Datadog.

About Zendesk - Champions Of Customer Service

Zendesk started the customer experience revolution in 2007 by enabling any business around the world to take their customer service online. Today, Zendesk is the champion of great service everywhere for everyone, and powers billions of conversations, connecting more than 100,000 logos with hundreds of millions of customers over telephony, chat, email, messaging, social channels, communities, review sites and help centers. Zendesk products are built with love to be loved. The company was conceived in Copenhagen, Denmark, built and grown in California, taken public in New York City, and today employs more than 4,000 people across the world. Learn more at www.zendesk.com.

We believe in service. Learn more about how we provide support to our local communities with volunteering, grants and product donations.

Zendesk is an equal opportunity employer, and we’re proud of our ongoing efforts to foster global diversity, equity, & inclusion in the workplace. Individuals seeking employment and employees at Zendesk are considered without regard to race, color, religion, national origin, age, sex, gender, gender identity, gender expression, sexual orientation, marital status, medical condition, ancestry, disability, military or veteran status, or any other characteristic protected by applicable law. We are an AA/EEO/Veterans/Disabled employer. If you are based in the United States and would like more information about your EEO rights under the law, please click here.

U.S. Applicants Only: Consistent with Zendesk’s emphasis on employee wellness and our shared interest in public health, Zendesk requires all U.S. employees to provide proof of full vaccination against COVID-19. Zendesk will consider accommodations for reasons recognized by applicable law. Zendesk prohibits discrimination and will not tolerate discrimination based on a person’s disability, physical or mental conditions, religion, or any other status protected by law.

Zendesk endeavors to make reasonable accommodations for applicants with disabilities and disabled veterans pursuant to applicable federal and state law. If you are an individual with a disability and require a reasonable accommodation to submit this application, complete any pre-employment testing, or otherwise participate in the employee selection process, please send an e-mail to benefits@zendesk.com with your specific accommodation request.

By submitting your application, you agree that Zendesk may collect your personal data for recruiting, global organization planning, and related purposes. Zendesk's Candidate Privacy Notice explains what personal information Zendesk may process, where Zendesk may process your personal information, its purposes for processing your personal information, and the rights you can exercise over Zendesk’s use of your personal information.

"
c98b7f893527432896e85c22bee2d2f1,"Deem, Inc.",Senior Software Engineer (React),"Dublin, County Dublin, Ireland Hybrid","At Deem, we create powerful, intuitive solutions for booking and managing corporate travel. Deem puts the traveler at the center of everything we do. Travellers can manage their corporate travel needs with ease and on the fly, while companies can apply policy and control costs.




Deem's mission is to transform travel while expanding our footprint in the marketplace. There is enormous opportunity to impact the company and innovate travel, while working with a team that has a shared passion of taking the company to the next level. The company is headquartered in San Francisco Bay Area with offices in Bangalore, India and Dublin, Ireland.




Deem is a wholly owned and independently run subsidiary of Enterprise Holdings, Inc., the world’s largest mobility provider, and an industry leader in mobility and technology. Deem has the benefit of being a subsidiary of Enterprise Holdings, Inc. while having a start-up feel and an agile approach.







If you are looking for an opportunity to design simple, scalable, easy-to-maintain solutions for complex problems and deliver world-class software in an innovative, fun and friendly environment, you’ve found the perfect place! We are seeking engineers at all levels who thrive in an agile environment, can successfully partner with small, cross-functional teams, and who want to be empowered to make a difference to their team, to our company and to corporate travel managers and travellers everywhere.

You would be responsible for delivery of approved architecture, manage code quality and you will also proactively work with teams to ensure smooth and effective collaboration. We are looking for Engineers who enjoy solving customer problems, have a growth mindset, creative and mobile first approach and love for agile methodology.




What you'll do:




· Design and develop new services, applications, and database components as part of the next generation platform for Deem

· Take ownership of one or more core microservices on an iterative development model from concept to completion

· Collaborate with cross-functional teams: Product Management, Project Management, Engineering, and DevOps, both onsite and remote to deliver scalable solutions

· Analyze business requirements, and create technical design documents in accordance with Deem's architecture standards

· Assist in preparing accurate estimates for software development work, track progress, and course-correct accordingly

· Interview and help hire other engineers on the team

· Maintain high coding standards, participate in design and code reviews

· Write unit and integration tests to ensure quality and test coverage

· Debug and troubleshoot issues across all layers of the solution stack

· Keep up to date on the newest technological innovations and work on continuously applying those to existing and new software solutions







What you'll bring to the table:




· 5+ years of professional software development experience

· 3+ years of frontend development experience working with React and progressive web applications

· 2+ years of backend development experience with Go; or other languages with a willingness to learn Go.

· Deep understanding of microservices design patterns and service-oriented-architecture

· Excellent programming skills in one or more of the following languages: TypeScript, Go and Swift.

· Experienced with mobile first approach

· Willingness to work with different technologies and languages (Javascript, TypeScript, Go, Java, Swift, etc.) when required in order to deliver features to our travelers

· Good understanding of Git and pipelines

· Passionate about technology, with an appreciation for beautiful, elegant systems and a knack for energizing others around your passions

· Excellent problem solving and troubleshooting skills

· Strong communication and documentation skills

· Background in Travel domain with understanding of booking tools & processes highly desirable

· Expertise in creation and consumption of RESTful web services or gRPC based services







Deem team members come from a variety of backgrounds and we are committed to creating a sense of inclusion and belonging for everyone. One of the ways we achieve this is by ensuring we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, marital, veteran, or disability status."
46d07292c3244ac1949399ce6a27c18a,QAD Precision (Precision Software),Senior QA Software Engineer,"Dublin, County Dublin, Ireland Remote","Senior QA Software Engineer

Location: Dublin, Ireland (Office and remote home working available)










QAD Precision Software has an open position for an experienced QA Software Engineer in its Dublin based Research & Development group. This R&D group is responsible for the development and release of an enterprise cloud solution with a global customer base.




We are looking for a QA Engineer with experience of testing web-based business applications to become part of one of the scrum teams focused on expanding the product features. You will be involved in an agile team taking stories from high level requirements through to delivery. There will be exposure to the full development lifecycle providing opportunities to expand your technical knowledge and business acumen. The teams use best in class tools to collaborate, manage tasks, and test in a continuous build environment.







What you’ll need

BSc. Computer Science or equivalent.
Minimum four years experience testing in an Agile environment, preferably enterprise software solutions.
Experience with Selenium, Java and Jenkins for test automation.
Experience developing automated tests using an IDE (e.g. Eclipse)
Experience with version control software (e.g. Git)
Experience using a test management tool such as Adaptivist for management and execution of test cases.
Experience in cross-browser testing and working with browser development tools.
Experience with relational databases.
Experience of security testing (e.g. OWASP top ten).
Excellent oral and written communication skills.
Nice to have - Experience with JMeter for performance testing.
Nice to have - Exposure to Tomcat, Maven.
Nice to have - Experience with Microservices Architectures.
Nice to have - Knowledge of the Supply Chain industry.







What We Offer:

Your health and well being are important to us at QAD. We provide programs that help you strike a healthy work life balance.
Opportunity to join a growing business, launching into its next phase of expansion and transformation. Play a key role as an empowered influencer in the design and continuous improvement of a best-in-class SaaS software organization.
Collaborative culture of smart and hard-working people who support one another to get the job done.
An atmosphere of growth and opportunity, where idea-sharing is always prioritized over level.
Compensation packages based on experience and desired skill set







About QAD Precision:

QAD Precision, a division of QAD Inc. provides industry leading, global trade and transportation execution solutions for businesses around the world both On Premise and in the Cloud allowing companies to improve the management and control of their global shipping. With over 30 years of global experience, QAD Precision helps companies to reduce transportation costs, avoid delays at trans-border crossings and mitigate risks as they navigate their dynamic trading environments. Founded in Ireland in 1984, QAD Precision maintains a Dublin office, with the R&D team and a large number of service consultants assisting our global customer sites.







Our parent company, QAD Inc. is a leading provider of adaptive, cloud-based enterprise software and services for global manufacturing companies. Global manufacturers face ever-increasing disruption caused by technology-driven innovation and changing consumer preferences. In order to survive and thrive, manufacturers must be able to innovate and change business models at unprecedented rates of speed. QAD calls these companies Adaptive Manufacturing Enterprises. QAD solutions help customers in the automotive, life sciences, packaging, consumer products, food and beverage, high tech and industrial manufacturing industries rapidly adapt to change and innovate for competitive advantage.




QAD is committed to ensuring that every employee feels they work in an environment that values their contributions, respects their unique perspectives and provides opportunities for growth regardless of background. QAD’s DEI program is driving higher levels of diversity, equity and inclusion so that employees can bring their whole self to work.




We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class."
67851c5cc31044f284b486793180ae46,JPMorgan Chase & Co.,Software Engineer - Mobile Application Security,"Dublin, County Dublin, Ireland","As an experienced member of our Software Engineering Group with focus on Mobile Application Security, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:

 BS/BA degree or equivalent experience 
 Expertise in Mobile application, data, and infrastructure architecture disciplines 
 Ability to understand results of a Mobile Application vulnerability scan and work with Mobile Application developers to fix issues 
 Advanced knowledge of architecture and design across Mobile Application systems 
 Understanding of modern programming languages 
 Knowledge of industry-wide technology trends and best practices 
 Familiarity with Data Theorem, Zimperium and/or Verimatrix products 
 Ability to work in large, collaborative teams to achieve organizational goals 
 Passionate about building an innovative culture 

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
5cc5b6223d074ba6a834d2cd80d1a49d,Qualcomm,"Graduate GPU Software Engineer - Cork, Ireland","Cork, County Cork, Ireland","Company

QT Technologies Ireland Limited

Job Area

Engineering Group, Engineering Group > Software Engineering

General Summary

About The Role

Qualcomm offers flexible work options tailored to our employee’s needs. These include a combination of work from home and working in our brand new, state of the art office in Penrose Dock, Cork.

Well-being and life balance are fundamental to Qualcomm as an employer. We recognise and understand that employees have missed spending quality time with loved ones and extended family.

As such, Cork Qualcomm policy allows our employees to blend short-term remote working with annual leave.

We are looking for Graduate Engineers with a Degree or Masters in Computer Engineering or Computer Science to work on graphics processor (GPU) software development. The Qualcomm graphics system team in Cork develop software for the next generation of graphics processors (GPU).

The system software team is responsible for delivering device drivers and tools for prototyping, exploring and verifying new and prospective features for next generation GPU’s. Software engineers will work closely with a global team comprised of graphics experts throughout the development life cycle of a GPU.

Minimum Requirements

Degree (or equivalent qualification) in Computer Engineering or Computer Science.
Experience with C/C++ programming language
Experience with GPU APIs like Direct3D/OpenGL/Vulkan.
Understanding of basic testing, coding, and debugging procedures
Strong interpersonal, written, and verbal English communication skills


Desirable

Masters focusing on GPU technologies.
Experience with device driver development
Experience with game engine development
Knowledge on game engine such as Unreal, Unity
Familiarity with embedded systems
Comfortable working close to the hardware


Where you will be working

Cork has a proud reputation as Ireland's second largest economic engine and is now one of the Top 20 location choices in Europe with 39,000 people being employed by over 170 overseas companies.

There's a growing diversity in the region with people from many nationalities relocating to Cork, relishing the opportunity to work and live in a location that offers an excellent quality of life.

A gateway to Europe, Cork airport provides access to almost 50 international destinations including transatlantic air routes.

Equal Opportunities

We are an Equal Opportunity employer; all qualified applicants will receive consideration for employment without regard to race, colour, religion, sexual orientation, gender identity, national origin, disability, veteran status, or any protected classification.

What's On Offer

Apart from working in an open, relaxed and collaborative space, you will enjoy:

Salary, stock and performance related bonus
Maternity/Paternity Leave
Employee stock purchase scheme
Matching pension scheme
Education Assistance
Relocation and immigration support (if needed)
Life, Medical, Income and Travel Insurance
Subsidised memberships for physical and mental well-being
Bicycle purchase scheme
Employee run clubs, including, running, football, chess, badminton + many more
Work from country of origin for up to 12 weeks per year


Education

Minimum Qualifications

Bachelors - Computer Science, Bachelors - Engineering, Bachelors - Information Systems

Certifications

Work Experiences:

Skills

Preferred Qualifications

Education

Work Experiences:

1+ years experience with Programming Language such as C, C++, Java, Python, etc.

Skills

References to a particular number of years experience are for indicative purposes only. Applications from candidates with equivalent experience will be considered, provided that the candidate can demonstrate an ability to fulfill the principal duties of the role and possesses the required competencies.


Applicants: If you are an individual with a disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found here for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities to be able participate in the hiring process. Qualcomm is also committed to making our workplace accessible for individuals with disabilities. Qualcomm is an equal opportunity employer and supports workforce diversity.

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

If you would like more information about this role, please contact Qualcomm Careers."
7453db7b3004432fa913e87c34fd8f93,ControlSoft Automation Systems Ltd,Software Engineer,"Dundalk, County Louth, Ireland On-site","At ControlSoft, we produce high quality software that has tangible implications on the execution of real-world machinery and processes. Our software allows autonomous aqua drones to navigate the seas, robots to assemble complex products, pharmaceuticals to produce life-changing medicines and so much more. We are seeking a Software Engineer to join our growing team based in Dundalk, Co. Louth. As a Software Engineer, you will utilize your knowledge and experience to support the production of market differentiating products and services that bridge the gap between software engineering and automation engineering domains."
f42a16a54b0a47308e192b16db0487ac,Amazon,Software Development Engineer II,"Dublin, County Dublin, Ireland","Job Summary

DESCRIPTION

Software Development Engineer-Simple Email Service

Amazon SES is building a team to build richer and more engaging experiences to our customers. We are innovating new ways for enable businesses to run targeted campaigns and drive user engagement through email.

In the SES team you will be joining an engineering team where the entire development of the service occurs in Dublin. You will have the opportunity to impact the service roadmap and be given the time to be creative and think of new features that we can provide our customers. You will own and implement specific components, build highly available, secure, scalable, distributed and event-driven systems and help define the system architecture.

This is a full-stack development position, leaning towards back-end work.

Work/Life Harmony

Our team puts a high value on work-life harmony. Due to Covid-19 situation, out team currently works from home. We generally keep core working hours from 10am to 4pm. About half of us start the day earlier and the other half of us stay later.

On-Call Responsibility

This position involves on-call responsibilities. We don’t like getting paged in the middle of the night or on the weekend, so we work to ensure that our systems are fault tolerant. When we do get paged, we work together to resolve the root cause so that we don’t get paged for the same issue twice.

Mentorship & Career Growth

Our team is dedicated to supporting new team members. Our team has a broad mix of experience levels and Amazon tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. Our senior engineers truly enjoy mentoring more junior engineers and engineers from non-traditional backgrounds through one-on-one mentoring and thorough, but kind, code reviews.

We care about your career growth. We try to assign projects and tasks based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future.

Inclusive Team Culture

Our team is intentional about attracting, developing, and retaining amazing talent from diverse backgrounds. Yes we do get to build a really cool service, but we also think a big reason for that is the inclusive and welcoming culture we try to cultivate every day.

We’re looking for a new teammate who is enthusiastic, empathetic, curious, motivated, reliable, and able to work effectively with a diverse team of peers; someone who will help us amplify the positive & inclusive team culture we’ve been building.


Basic Qualifications

3+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.

Preferred Qualifications

Computer Science fundamentals in object-oriented design
Computer Science fundamentals in data structures

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.

Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.


Company - Amazon Dev Centre Ireland Ltd

Job ID: A1982349"
4572cdfa1fee44609a7221f71d146aee,RingCentral,Ruby / Ruby on Rails Software Engineer - Remote,Ireland Remote,
b68f5dc12d0b4f98998e726bba39101f,Workday,Sr Associate Software Development Engineer,"Dublin, County Dublin, Ireland","Do What You Love. Love What You Do.

At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work.

About The Team

Join a team of talented, dynamic and passionate software engineers, working with key architects, product managers, and other stakeholders delivering a new generation of on-demand Enterprise solutions designed to meet the needs of today's global businesses. The team’s overall goal will be to accelerate the delivery of features in an agile environment while safeguarding the high quality our customers expect from Workday applications.

Workday is unique in that it builds enterprise software in the cloud on a single codeline through a continuous development model allowing for rapid delivery of our software to our customers.

The successful candidate will be expected to manage multiple priorities with competing deadlines, be passionate about building high quality enterprise applications and be innovative in their ideas from a technical, process and relations point of view.

About The Role

Solve challenging problems in an Application related to performance, scalability, and resilience
Design and develop an OO product in a metadata-driven development environment
Write and maintain SOLID, robust, efficient and maintainable code using an OO framework and tools
Write reliable unit, integration, and system level tests that will run on our CD pipeline.
Understand and promote industry best practice.
Mentor and learn from other team members through pairing, code reviews, knowledge shares, hackathons, etc.


About You

Basic Qualifications

You see software development as a team activity, and thrive in a highly collaborative, agile culture where you’re always teaching and learning.
You have 2+ years experience designing performant, scalable and resilient applications.


Other Qualifications

You understand the value of automated tests at all levels of the testing pyramid.
You have a strong desire to learn and continuously improve your craft.
You have experience with influencing the technical decisions made by a team.
You are a problem solver who is motivated by successfully shipping new features to production.
You have familiarity with, or a willingness to design, build, test, and monitor a service in production.


At Workday, we believe every potential recruit brings value to the table. Believe you are missing some of the skills and are hesitant to apply? We do not believe in the ‘perfect’ candidate and are happy to teach. So however you identify and whatever background you bring with you, apply and see what we are all about.

Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!

"
1c42257b2fcb4c9b8cd0b03bac28ed63,Genesys,Associate Software Engineer in Test,"Dublin, County Dublin, Ireland","Location:

For this role we are open to candidates being eventually office based in Galway, remote workers within Ireland long term or a mix of both.

Summary:

An Associate Software Engineer, Test is a dependable member of the Testing organization who contributes mostly to the efforts of a single development team. Associate SETs in time will prove their ability to work independently on simple features to assess the scope of testing, implement automated system-level tests, and maintain a CI pipeline by triaging and optimizing tests. Associate SETs and SETs assist Sr SETs with tasks to improve our testing frameworks and processes. Associate SETs learn to understand the needs and processes of other departments including Development, Product Management, Sales, Support, and Professional Services. Skilled SETs develop a strong understanding of their development team’s processes, priorities, roadmap, and current feature work.

Associate SETs progress their careers by proving their ability to assess risk and identify testing requirements for complex projects. They advance by providing helpful feedback on code reviews, leading the charge to maintain an efficient testing pipeline, and by acquiring a strong understanding of how PureCloud services integrate. Candidates for promotion beyond Associate SET are those who show a strong understanding of testing philosophy and the ability to gain respect and lead others toward positive results.

What you will do:


Triage failed automated test executions and report defects when appropriate
Maintain automated test jobs in an automated deployment pipeline
Participate in bug hunts to gather user feedback for new features
Identify useful test cases that identify and isolate faults
Build trust and maintain relationships with team members of product management and development
Participate in design and code reviews to help mentor other team members and to influence technical direction of testing department
Perform exploratory testing to identify high risk areas, refine requirements, and isolate bugs to increase testability of application
Coordinate test efforts for projects involving multiple teams to ensure appropriate test coverage
Contribute robust, well architected solutions to the shared test framework
Become proficient in the architecture, design, and customer use cases for their team's services
Identify acceptance criteria for complex projects and determine priorities for test automation to balance operational efficiency with sufficient test coverage
Identify areas of risk for performance, longevity, and architectural robustness by designing and running longevity and destructive tests
Assist support engineers with escalated customer issues by reading logs, explaining intended behaviors, and identifying defects


What you will bring to the role:
A Bachelor of Science degree in Computer Science (preferred) or related degree.
Junior level proficiency of the following:
Ability to analyze and interpret data using software analytics services such as New Relic and SumoLogic to monitor services and diagnose problems
Ability to use version control systems such as GitHub or Bitbucket
Knowledge of service-oriented architecture (SOA)
Knowledge of the Software Development Life Cycle (SDLC)
Knowledge of object-oriented programming (OOP) using programming languages such as Java, Python, JavaScript, TypeScript
Knowledge of object-oriented design patterns
Knowledge of multi-tier web applications and technologies such as HTTP, JavaScript, and JSON in a service-oriented architecture (SOA)
Knowledge of agile testing methodologies and best practices for continuous delivery (CD)
Understand how to use application frameworks such as Spring and Express to develop applications
Excellent written and verbal communication skills


This role could be a great fit if you have an interest in:


The area of software testing/ test automation, working with tools like Selenium and Jenkins
Cloud development, the team are working with AWS.


Benefits:


Flexible work schedules and work from home options
Development and career growth opportunities
Excellent pension scheme
Bonus scheme
Health Insurance
Income Protection & Life Assurance
Family friendly leave allowances, including paid maternity and paternity leave


Covid-19:

Safety for our employees and our communities is a key priority for Genesys. We continue to experience rapid growth during the Covid-19 pandemic and are conducting remote hiring and onboarding processes. All hiring and onboarding processes are being conducted remotely at this time.

As our Covid-19 task force and internal teams plan to reopen our global offices, the policies and procedures will continue to be updated.

About Genesys:

Every year, Genesys® orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. Through the power of our cloud, digital and AI technologies, organizations can realize Experience as a Service℠, our vision for empathetic customer experiences at scale. With Genesys, organizations have the power to deliver proactive, predictive, and hyper personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. By transforming back-office technology to a modern revenue velocity engine Genesys enables true intimacy at scale to foster customer trust and loyalty. Visit www.genesys.com

Genesys is an equal opportunity employer committed to diversity in the workplace. We evaluate qualified applicants without regard to race, color, age, religion, sex, sexual orientation, gender identity or expression, marital status, domestic partner status, national origin, genetics, disability, military and veteran status, and other protected characteristics.

Please note that recruiters will never ask for sensitive personal or financial information during the application phase."
