ID,Company,Job Title,Location,Description
6cbaf38c13ec45929ff954bf9e7fcb26,Workday,Software Development Engineer,"Dublin, County Dublin, Ireland","Do what you love. Love what you do. At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work. About the Team Our passion, as part of the Machine Learning organisation, is to deliver on critical company goals, and Objectives and Key Results (OKRs)! We are the data streaming team (aka Zonda) and develop the platform for critical data pipelines. They include content acquisition, data streaming and event sourcing using Open Source technologies: Apache Flink, Apache Avro, Apache Kafka, plus a set of internal technologies. About the Role Designs, develops and debugs distributed software programs for improvements and new products across multiple fields and multiple platforms. Capable of crafting and implementing software able to handle the tradeoffs between data consistency, availability, partition tolerance. Develop, craft and deploy software and tools in support of a data processing system, including highly concurrent transaction processing, distributed memory management, communication protocols, and efficient distributed data algorithms. About You Are you a stellar teammate who would enjoy taking on the challenges of building Workday’s Machine Learning platform? Would you like to be integral to putting smart features into Workday to amaze our customers? Basic Qualifications 5+ years of software engineering experience 3+ years of distributed systems engineering experience utilising one or more of the following: Java and/or Scala and one scripting language in a Unix/Linux environment Other Qualifications Proficient collaborating with teammates to design, maintain and improve sophisticated object-oriented software following clean code standard methodology; An understanding and experience with topics related to performance and scale, security, availability, deployment and operations A testing/quality approach - unit, system/integration and end-to-end testing, TDD, feature toggles, canary deployments; Exposure to operating system concepts covering memory and storage, threading and concurrency, networking and sockets, process management; Track record of being responsible for a service in production with experience of production triage and on-call; Experience with logging, monitoring, metrics, stats technologies, such as: Wavefront, Grafana, Prometheus, Kibana, Hive, Big Panda etc. Experience in delivery a service from writing code to deploying in production: continuous integration (Jenkins), virtualisation (Docker, VMware), orchestration (Kubernetes) LI-PN1 Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!"
f6331db47c1a4d9db60b85f477fe4274,Optics11 - Fiber optic sensing solutions,Embedded Software Engineer,"Dublin, County Dublin, Ireland Hybrid","Optics11 is developing a new range of instruments, based on optical fibre sensing. For our Dublin Team, we are looking for a hands-on Embedded Software Engineer, who has experience in electronic hardware design and embedded software development. Working in a highly motivated and talented R&D team, the candidate is a key player in bringing our unique and world class instruments from design phase to product maturity. Are you in for a challenge? This is a development position, in which you will work as part of a team, building our fibre sensing platforms, incorporating real-time embedded software. Your new role will be the development of new functional components, and the timely resolution of internal and client generated software enhancement requests, and bug fixes as well as testing, documenting, and general build infrastructure work. Experience, skills and qualification required: A minimum of 2 years post-graduate experience and a degree in a computer-related discipline. Equivalent computer-related technical experience is also valid. Applications from more experienced engineers are welcome; Excellent understanding of software engineering methodology, the roles involved and how these roles are executed in the context of a project; Ability to work to tight deadlines while maintaining quality and demonstrating a track record for innovation and creativity. Technical skills: Excellent C++ skills; Embedded development on Linux; Real-time software development experience; GIT and git workflows. Interpersonal skills: Ability to write and converse clearly, concisely and confidently on technical problems, solutions and workarounds; Demonstrable team working and communications skills; A track record of on time delivery of quality software; Quick learner with a proactive work attitude. The following skills are desirable but not essential: Object oriented design methods, UML, Use Case Creation; RTOS experience (Free RTOS, QNX, VxWorks); Linux device driver development; Experience of Agile development processes; CUDA, Docker, Petalinux. What we offer: Competitive primary and secondary working conditions within a challenging and dynamic international organization with driven and passionate colleagues. Furthermore, there is an informal work environment and the opportunity to grow into the organization. Do you think that you are a good match for Optics11? Let’s get in touch! To apply, please send both your resume and motivation letter to recruitment@optics11.com. Don’t forget to mention the job title in your application!"
ada1e8849ed64baf8627e9a2710411ff,Microsoft,Software Engineer – iOS – Microsoft Identity,"Dublin, County Dublin, Ireland On-site","The Microsoft Identity group serves over a billion active users, powering the Azure Active Directory and Microsoft Account Identity services that are at the core of almost every Microsoft product and platform like Office, Xbox, HoloLens and Azure. We are seeking experienced and passionate Software Engineers to help grow the Identity Client team, which is focused on developing client authentication libraries, identity components in operating systems, and cross-platform Single Sign On solutions. Your work will enable application developers on multiple platforms (Windows, Linux, macOS, iOS, Android) to integrate with solutions developed by the Identity Client team to seamlessly enable their applications to be identity aware. Your work will be foundational in enabling further growth and innovation in the entire Identity ecosystem. You can learn more about the Identity team in Dublin here: https://www.microsoft.com/en-ie/engineering/identity https://www.microsoft.com/en-ie/engineering https://www.microsoft.com/en-ie/engineering/Life Responsibilities As a Software engineer on the Microsoft Identity team you will: Design and develop identity client software solutions for iOS. Troubleshoot and optimize automation, reliability and monitoring for production software. Adhere to and drive modern software engineering practices through design reviews. System design through well-defined interfaces across multiple components, code reviews, leveraging data/telemetry to make decisions. Develop “best-in-class” engineering for our software by ensuring that the libraries and the components are well-defined and modularized, secure, reliable, diagnosable, actively monitored and reusable. Improve test coverage for libraries, organize and implement integration tests, and resolve problem areas. Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered. Expose test coverage issues, organize and implement integration tests, and resolve problem areas. Gain a working understanding of Microsoft businesses and collaborate with mentors and leaders in order to contribute to cohesive, end-to-end experiences for our users. Focus on customer/partner needs through a data driven approach. Qualifications 2+ years of experience in Software Development. Bachelor’s Degree in Computer Science, Computer Information Systems, Math, Engineering or related field, or completion of a Code/Developer academy program. Experience with Objective-C, Swift. Proven track record of successfully delivering software solutions to market in a collaborative environment. Preferred Qualifications Experience with one or more Object Oriented Programming language including but not limited to: Java, Python, PHP, RUST, Scala, C/C++, C#, Objective-C, .NET API design experience. Experience with identity and protocols. Open source experience. #identityjob #iddub Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form."
4fbcb0cd040b4d1080d15ea680b4bd05,Mastercard,Software Development Engineer II,"Dublin, County Dublin, Ireland","Our Purpose We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results. Job Title Software Development Engineer II Who is Mastercard? Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all. Overview The VCN, Spend Controls & Alerts team is looking for a Software Developer II to drive our customer experience strategy forward by consistently innovating and problem-solving. The ideal candidate is passionate about the customer experience journey, highly motivated, intellectually curious, analytical, and possesses an entrepreneurial mindset. Role Proactive software engineer for a world class distributed agile development team in the commercial virtual payments space. Design, develop, test, deploy, maintain, and improve our platform/application. Manage individual project priorities, deadlines, and deliverables. Contribute to the team and wider platform on a daily basis. Ensure the final product is highly performant, responsive, and of the highest quality. Actively participate in agile ceremonies including daily scrum, story pointing, story elaboration, and retrospectives. Required Skills Experienced developer with strong Java development experience with Spring/Hibernate. Proven experience building world class solutions on a global scale. Experience working in an agile environment and actively contributing to discussions at retrospectives/elaboration sessions. Solid experience with RESTful APIs and JSON/SOAP based API with Java. Knowledge of cloud native development such as cloud foundry, AWS, etc. Must be detail-oriented and proactive with the ability to function under pressure in an independent environment. Must provide the necessary skills to have a high degree of initiative and self-motivation with a willingness and ability to learn and take on challenging opportunities. Strong communication skills -- both verbal and written – with strong relationship, collaborative skills and organizational skills. Ability to work as a member of matrix based diverse and geographically distributed project team Education Bachelor's degree in Information Technology, Computer Science or Management Information Systems or equivalent work experience. Due to COVID-19, most of our employees are working from home. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together. Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable.accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly. Corporate Security Responsibility All Activities Involving Access To Mastercard Assets, Information, And Networks Comes With An Inherent Risk To The Organization And Therefore, It Is Expected That The Successful Candidate For This Position Must Every person working for, or on behalf of, Mastercard is responsible for information security. Abide by Mastercard’s security policies and practices; Ensure the confidentiality and integrity of the information being accessed; Report any suspected information security violation or breach, and Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines."
655f3feaa4b74281b8d59739e2f94956,We Make Change,Web Developer,"Dublin, County Dublin, Ireland Remote","Use your web development skills to empower women in Zambia with tech skills ✊ Asikana Network empower young women and equip them with ICT skills to help them in their various fields. They believe partnering with organisations from the private sector will help achieve their goals/objectives, including: ICT skills, training & capacity building, mentorship, placements, network between likeminded women and more! They are looking for a VOLUNTEER web developer who wants to use their skills to help teach web development to women 💻 Volunteer 2 hours per week remotely ⚡️ ️ If you have web development skills and want to use them to make change happen, apply to join the project now 🚀"
17668a8a9ea940bdba7dcbb67dfe920b,Etsy,"Staff Software Engineer I, Payments Core Integrations","Dublin 1, County Dublin, Ireland","Company Description Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect entrepreneurs with buyers around the world. Etsy, Inc.'s 'house of brands' portfolio has expanded to now include four individually distinct ecommerce brands – Etsy, fashion resale marketplace Depop, musical instrument marketplace Reverb, and Brazil-based handmade goods marketplace Elo7. As an Etsy employee, you’ll tackle unique problems alongside talented coworkers committed to Keeping Commerce Human. We're large enough that you'll focus on meaningful, complex challenges, but small enough that you can make a rewarding impact. Job Description The Payments team at Etsy is committed to crafting and maintaining a resilient, frictionless and scalable payments platform. Available in 43 countries, Etsy Payments enables buyers and sellers to transact in 19 currencies and offers 12 different methods to pay for items on our site. We support the growth and operations of Etsy Payments as an agile and multifaceted product and affords our buyers and sellers the protection they expect. It's an exciting environment with the opportunity to effect change on an Etsy-sized scale! We touch all parts of the Etsy web stack - primarily PHP, MySQL and JavaScript. You'll need to think hard about database transactions, sharding, replication, performance, stability, metrics, integration resiliency and more! You will learn and iterate in a world full of sensitive cardholder data and propose safe and scalable ways to address Etsy’s needs with code on a global scale. This is a full-time position reporting to the Engineering Manager. This person will be located in Dublin or remote from the United States. We are considering remote candidates based in Dublin for this position. Etsy offers three different work modes to meet the variety of needs and preferences of our team: Flex mode for candidates who are comfortable traveling to an office location 2+ times per week, Remote mode, and Office-based mode. Learn more about our flexible work modes and vaccination policy here. About The Role You will be a senior technical leader and critical early hire to a new Payments squad and will help others around you grow as developers and be successful. You will build and maintain code responsible for operating critical systems that process billions of dollars in payments and require around-the-clock availability. You will collaborate with other engineers within your team and across Payments to effectively use our infrastructure and platforms and other product teams building on our Payments platform. You will develop integration solutions for vendor products across multiple global initiatives. Qualifications You have experience working on a large scale, high performance and fault-tolerant systems. Experience working with vendor integrations, especially tax or treasury, is a strong plus. You're an engineer who can turn ideas into fast and reliable code that other people - or you, six months into the future - will find easy to comprehend and modify. You care as much about building great products as you do writing great code. Code quality is critically important to you, and you can help your team and others improve the quality of existing codebases. Have a knack for organization and breaking down significant problems into smaller ones. Can be autonomous, self-driven and a fast learner. Can confidently communicate efficiently and effectively. Can spin yarns about how you've done this right and wrong at your previous jobs. And we'll give bonus points if you can actually spin yarn. Enjoy learning about and interacting with the people who use your product. Additional Information What's Next If you're interested in joining the team at Etsy, please send a cover letter and resume telling us why you'd be right for the position. As you've hopefully seen already, Etsy is a place that values individuality and variety. We don't want you to be like everyone else -- we want you to be like you! So write to us and tell us what you're all about. Our Promise At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We encourage people from all backgrounds, ages, abilities, and experiences to apply. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender, gender identity or expression, pregnancy or caregiver status, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided reasonable accommodations to participate in the job application and interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets. For U.S. Roles Only Many Etsy roles are open to remote candidates, and you'll be able to identify which ones within the location header of each job description. We're open to remote hires from all U.S. states except Hawaii and Alaska. For candidates who will work remotely from Colorado, visit this link for information related to Colorado's Equal Pay for Equal Work Act."
6aaafe62344e4b889276063e3aa4f807,One Identity,Software Sales Engineer I,"Dublin, County Dublin, Ireland","Overview OneLogin has joined One Identity by Quest! The combined entity delivers a complete portfolio of market-leading Identity Access Management, Privileged Access Management, and Identity Governance solutions. Now, customers can achieve identity-centric security with trusted, proven technology in each major category. One Identity is looking for a Solution Architect to join our Solution Engineering Team. In this role, you will be responsible for designing complex IAM solutions based on OneLogin’s IDaaS platform. As a thought leader both pre- and post-sales for driving innovative enterprise solutions to solve our customer's’ business and technical needs, you will be part of a team of solution architects who are self-motivated, have an insatiable thirst to drive our customers to success and love every minute doing it. Responsibilities Engage with prospects and customers in technical process, strategy and design discussions on IDM/IAM/SSO principles to highlight the value and capabilities of the OneLogin platform Drive discovery workshops to understand customers’ business and technical requirements leading to the development of complex identity-driven solutions utilizing OneLogin’s Identity Management products Assist Sales Engineers, Account Executives, and Partners during the deal cycle to scope, estimate and price engagements, creating proposals and Statements of Work to support the sales process Develop and improve OneLogin service offerings and solutions capabilities Be a recognized thought leader in the IAM space, following emerging trends and technologies inherent and adjacent to OneLogin’s solutions Demonstrate technical leadership and collaboration within Solution Engineering and other OneLogin teams such as Professional Services, Engineering, TechOps, Sales and Support Qualifications 10+ years' of relevant IT delivery experience with at least 3 years technical consulting experience leading custom solutions for enterprise-scale Identity and Access Management technologies, preferably in a consulting setting Detailed technical knowledge of cloud architecture as well as on-premise IT landscape, including security and systems management concepts, processes and standards Demonstrated expert knowledge of Identity Management, Access Management and Directory Services (including LDAP and Active Directory) Extensive experience with SAML, SCIM, Oauth, OpenID and forms based authentication, as well as general networking technologies including HTTP/S, SSL/TLS, TCP/IP, RADIUS, Firewall, Proxy...etc Ability to write and review code, including JavaScript, PERL, PHP Excellent written, presentation and verbal skills, able to engage customers at all levels from executive management to technical engineers Capable of articulating solution-driven value propositions with a focus on selling business outcomes, not just technology solutions Self-starter a must in a high velocity environment BS in Computer Sciences or related technical experience Preferences MS degree or CISSP certification Company Description One Identity enables organizations of all sizes to better secure, manage, monitor, protect, and analyze information and infrastructure to help fuel innovation and drive their businesses forward. With team members around the globe, we intend to continue to grow revenues and add value to customers. When you join our team, you will have the opportunity to build and develop products at a scale few others can provide. Our product portfolio serves a large base of customers and we are addressing the strategic imperatives for enterprise businesses. Working with some of the most talented employees the industry has to offer, we provide enhanced career opportunities for team members to learn and grow in a rapidly changing environment. Why work with us? Life at One Identity means collaborating with dedicated professionals with a passion for technology. When we see something that could be improved, we get to work inventing the solution. Our people demonstrate our winning culture through positive and meaningful relationships. We invest in our people and offer a series of programs that enables them to pursue a career that fulfills their potential. Our team members’ health and wellness is our priority as well as rewarding them for their hard work. One Identity is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: One Identity is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at One Identity are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. One Identity will not tolerate discrimination or harassment based on any of these characteristics. One Identity encourages applicants of all ages. Job seekers should be aware of fraudulent job offers from online scammers and only apply to roles listed on quest.com/careers using our applicant system. Note: We do not use text messaging or third-party messaging apps like Telegram to communicate with applicants, so please exercise caution if you are approached in this way and only interact with people claiming to be Quest or One Identity employees if they have an email address ending in @quest.com or @oneidentity.com"
950659289bd94c2e87b527f6cbad2955,TIBCO,Full Stack Software Engineer,"Dublin, County Dublin, Ireland On-site",
3dc12d900e7c400e8edd165ac309ad02,Coinbase,Staff Software Engineer,"Dublin, County Dublin, Ireland Remote","We’re Coinbase. We’re the world’s most trusted way to join the crypto revolution, serving more than 73 million accounts in more than 100 countries. Our mission is to increase economic freedom around the world, and we couldn’t do this without hiring the best people. We’re a group of hard-working overachievers who are deeply focused on building the future of finance and Web 3.0 for our users across the globe, whether they’re trading, storing, staking or using crypto. Know those people who always lead the group project? That’s us. There are a few things we look for across all hires we make at Coinbase, regardless of role or team. First, we look for candidates who will thrive in a culture like ours, where we default to trust, embrace feedback, and disrupt ourselves. Second, we expect all employees to commit to our mission-focused approach to our work. Finally, we seek people who are excited to learn about and live crypto, because those are the folks who enjoy the intense moments in our sprint and recharge work culture. Ready to #LiveCrypto? Who you are: You’ve got good vibes. You’re optimistic about the future and determined to get there. You’re never tired of learning. You want to be a pro in bleeding edge tech like DeFi, NFTs, DAOs, and Web 3.0. You appreciate direct communication. You’re both an active communicator and an eager listener - because let’s face it, you can’t have one without the other. You’re cool with candid feedback and see every setback as an opportunity to grow. You can pivot on the fly. Crypto is constantly evolving, so our priorities do, too. What you worked on last month may not be what you work on today, and that excites you. You’re not looking for a boring job. You have a “can do” attitude. Our teams create high-quality work on quick timelines. Owning a problem doesn’t scare you, but rather empowers you to take 100% responsibility for achieving our mission. You want to be part of a winning team. We’re stronger together, and you’re a person who embraces being pushed out of your comfort zone. We’re looking for Staff Software Engineers to balance the role of an individual contributor while also anchoring new projects, leading technical direction and mentoring other engineers on the team. We highly value individuals with intellectual curiosity and openness. We collaborate across the organization, helping our engineers think big and take risks while building a culture of diversity, positive energy and blameless truth-seeking. Our engineering team leverages a diverse tech stack and our focus is finding smart engineers who’ve worked on complex projects and we have all the trust you’d be able to pick up whatever tech necessary in the stack. We have openings across a variety of backend teams. Here are a few examples: Exchange: The Exchange team builds and operates the core systems that process and match orders across all of Coinbase (Consumer & Pro). These systems are almost always on the hot path for users so we are constantly working to improve our systems to reduce latency and jitter while maximizing throughput. Backend Platform: The Backend Platform team is focused on building robust architectural foundations, toolsets and a culture for all of Coinbase engineering to build high quality, secure & reliable products. Users: The Users team builds and operates user services such as identity verification, authentication and authorization. You’ll be working with OAuth that powers our mobile clients and third party developers, monrails that power 2FA authentication logic & our institution identity management service. Institutional: The Institutional team builds and operates state of the art execution and storage systems that allow our customer to trade and store millions of dollars of cryptocurrency on any given day. Crypto: The Crypto team builds and maintains the shared infrastructure to make Blockchains and Crypto assets available for products. You’ll work on engineering problems in cryptography, security, blockchain technology and distributed systems, with a focus on enabling Crypto investing and growing the Cryptoeconomy. What You’ll Be Doing Architect and develop distributed systems Provide technical structure to teams and work closely with management and stakeholders to define strategic roadmaps Manage individual projects priorities, deadlines and deliverables with your technical expertise Mentor and train other team members on design techniques and coding standards Design and implement foundational infrastructure components used by every engineering team in production (e.g. dynamic configuration, secrets storage, container orchestration, etc) Write high quality, well tested code to meet the needs of your customers What We Look For In You 8+ years of experience in software engineering You’ve experienced architecting and developing solutions to ambiguous problems with significant impact You’re passionate about building an open financial system that brings the world together Nice To Haves You have gone through a rapid growth in your company (from 10 to 100s of engineers) You have experience with Blockchains (such as Bitcoin, Ethereum etc.) You have experience decomposing a large monolith into microservices You’ve worked with Golang, Ruby, Docker, Sinatra, Rails, Postgres You’ve built financial, high reliability or security systems ID: 2123 Commitment to Equal Opportunity Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. For US applicants, you may view Pay Transparency, Employee Rights and Equal Employment Opportunity is the Law notices by clicking on their corresponding links. Additionally, Coinbase participates in the E-Verify program in certain locations, as required by law. Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an e-mail to accommodations@ coinbase.com and let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here). Please contact accommodations@ coinbase.com for additional information or to request accommodations. Global Data Privacy Notice for Job Candidates and Applicants Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application, you are agreeing to our use and processing of your data as required."
2d258e124046465a9c29e6005dd89cd9,Xilinx,Graduate FPGA Software Verification Engineer - Contract,"Dublin, County Dublin, Ireland On-site","Job Description 162000 Dublin, Ireland, Ireland Dec 13, 2021 Description Job Description The Design Software Verification team play a critical role in verifying the Xilinx EDA tool chain for both pre- and post-silicon support. We are looking for a talented engineer to join our team of 6 engineers in the algorithm verification team in Dublin. In this role you will be responsible for understanding & evaluating software support for the latest FPGAs by creating test designs, ranging from small unit tests to full systems addressing customer markets such as Automotive (ADAS) and Emulation/Prototyping. This role requires strong FPGA design skills, combined with excellent software testing skills, including the creativity needed to imagine the many ways in which our software can be used, in order to find software bugs. You will need to learn fast as this role will require you to adapt your skills to changing technologies as Xilinx expands its EDA portfolio in the cloud and AI compute space. Job Responsibilities Responsible for development of FPGA designs to validate the correct behaviour of vivado implementation tools Responsible for development of scripts to automate the execution of test suites Responsible for uncovering and reporting of software defects ensuring highest levels of software quality are maintained Required 2-5 years’ experience of verification or design roles for ASIC or FPGA Honours Bachelors/Masters degree in Electronics/Electrical/Computer Engineering or related courses Experience of writing software or scripts"
